,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
275,恶意软件分析报告 (170),Paradise勒索病毒最新变种分析,2019/11/11,暂无数据,['暂无数据'],暂无数据,Paradise勒索病毒最早出现在2018年7月，最新发现的变种以.NET框架开发，运行后使用对称加密算法或非对称加密算法RSA对受害者文件进行加密，再使用RSA算法加密密钥，病毒几乎会加密所有的文件类型(html除外)，被加密文件后缀为'.safe'，没有作者私钥的情况下暂时无法解密文件。
276,恶意软件分析报告 (170),垃圾邮件伪装成WebEx会议邀请，传播WarZone RAT木马,2019/11/11,暂无数据,['暂无数据'],暂无数据,"研究人员发现伪装成思科WebEx会议邀请的垃圾邮件活动，并且使用思科开放重定向，将远程访问木马程序推送到收件人。使用开放重定向为垃圾链接增加合法性，并增加受害者点击URL的机会。垃圾邮件内容提示用户下载WebEx客户端，以便于参与会议，但是一旦用户点击""加入会议""按钮，将被重定向到自动下载webex.exe的站点，该程序是伪装成WebEx客户端安装程序的WarZone RAT木马。安装后，木马将自身复制到％AppData％和％UserProfile％目录下，并创建自启动程序。木马具有下载执行恶意软件，远程使用网络摄像头，窃取Firefox和Chrome密码等功能。"
277,恶意软件分析报告 (170),20多款游戏外挂传播主页劫持木马，影响超10万台电脑,2019/11/11,暂无数据,['暂无数据'],暂无数据,腾讯威胁情报中心监测发现一个木马团伙通过20余款热门游戏外挂(游戏辅助工具)传播广告木马，这些外挂包括：谨哥辅助、极品辅助盒子、南瓜辅助、逍遥游戏助手、魔神辅助等。游戏外挂声称已经过权威杀软检测，但运行后会通过网络获取配置文件，根据配置文件下载多个木马执行，包括主页劫持木马、广告推广木马等等。劫持木马通过遍历桌面、快速启动栏等文件目录下的浏览器快捷方式，篡改浏览器快捷方式目标，将其指向主页劫持木马LREDH.exe，LREDH.exe再启动浏览器进程，篡改配置文件里的导航网址。监测到该木马团伙已累计感染超过10万电脑。
278,恶意软件分析报告 (170),电商网站被注入恶意Skimmers脚本，窃取访问者付款信息,2019/11/8,暂无数据,['暂无数据'],暂无数据,最近，国外研究人员发现某些使用Magento和WordPress等CMS搭建的电商网站上被注入Skimmers恶意脚本，这些脚本使用Base64，以及数百个不同的域和定制的url进行混淆。每个脚本针对每个特定的受感染站点进行名称和内容的自定义，其检测结账页面的URL，并从结账表单中收集敏感的信用卡信息。
279,恶意软件分析报告 (170),Lcy2Miner挖矿木马影响两万台电脑，利用永恒之蓝横向移动,2019/11/8,暂无数据,['暂无数据'],暂无数据,"最近，腾讯威胁情报中心监测到Lcy2Miner挖矿木马家族感染量上升，北京、广东等地超2万台电脑被挖矿。溯源发现，攻击者搭建了多个HFS服务器提供木马下载，并在其服务器web页面构造IE漏洞(CVE-2014-6332)攻击代码，当存在漏洞的电脑被诱骗访问攻击网站时，会触发漏洞下载大灰狼远程控制木马(Ghost变种)，该木马具有搜集信息、上传下载文件、键盘记录、执行任意程序等多种功能。接着由远控木马下载门罗币挖矿木马和""永恒之蓝""漏洞攻击模块，然后利用""永恒之蓝""漏洞攻击工具在企业内网攻击传播，最终攻击者通过组建僵尸网络挖矿牟利。"
280,恶意软件分析报告 (170),响尾蛇组织针对巴基斯坦活动，使用新的恶意负载隐藏策略,2019/11/8,暂无数据,['暂无数据'],T-APT-04响尾蛇,"瑞星安全研究院最近发现APT组织响尾蛇针对巴基斯坦海军的攻击活动，主要目的是窃取政府，能源，军事，矿产等领域的机密信息。攻击者投放虚假的快捷方式文件""Key_Points.doc.lnk""，文件伪装成巴基斯坦海军公共关系总局发布的印度与中国领导人会谈新闻稿，诱导目标点击。在链接目标中可以看到显示调用的目标应用程序为cftmo.exe，但用户点击访问后将执行System32中的mshta.exe，通过mshta下载执行指定URL恶意脚本文件。安全研究人员将这种隐藏目标程序的技术称为""Link文件路径的目标劫持技术""。其利用了操作系统在右键显示属性的时候会优先使用 EnviromentVariableDataBlock中指定的程序路径，而不会判断该目标程序是否存在。下载的样本692cd02.hta是个JavaScript脚本文件，会从指定链接地址获取其他恶意负载盗取电脑文件信息。"
281,恶意软件分析报告 (170),Medusalocker勒索软件变种攻击企业，勒索1比特币,2019/11/7,暂无数据,['勒索软件'],暂无数据,腾讯威胁情报中心监测到Medusalocker勒索病毒在中国国内有部分感染，该病毒出现于2019年10月，已知该病毒主要利用钓鱼欺诈邮件及垃圾邮件传播。感染后病毒会添加计划任务，实现病毒程序的持久化驻留，计划任务会每15分钟执行一次，在病毒未清理彻底情况下，会导致重复感染。该病毒早期版本加密文件后添加扩展后缀.encrypted，最新版本加密文件后添加.ReadTheInstructions扩展后缀。Medusalocker采用RSA+AES方式对文件进行加密，加密后，会向受害者勒索1BTC(比特币)，由于RSA私钥无法通过分析获取，暂无解密工具。
282,恶意软件分析报告 (170),Ryuk勒索软件新增待机唤醒功能，利用ARP协议识别局域网主机,2019/11/7,暂无数据,"['僵尸网络', '勒索软件']",暂无数据,国外研究人员发现Ryuk(由WIZARD SPIDER分发的勒索软件家族)的变种，针对最近处于备用电源状态的系统，以及局域网中的在线系统，增添了识别和加密局域网(LAN)主机上的文件的新功能。Ryuk通过向处于待机状态下的LAN主机发送Wake-on-LAN(WoL)魔术包来唤醒它们，通过读取主机地址解析协议(ARP)中的缓存条目来识别LAN上的计算机。除此之外，Ryuk变种还通过ARP ping扫描识别LAN上的主机，如果主机作出响应，Ryuk尝试使用服务器消息块(SMB)将其作为网络驱动器挂载，并对其内容进行加密。Ryuk勒索病毒起源于Hermes勒索病毒，主要通过僵尸网络，垃圾邮件等方式传播。
283,恶意软件分析报告 (170),钓鱼邮件伪装成司法部传票，传播恶意软件Predator The Thief,2019/11/7,暂无数据,['暂无数据'],暂无数据,"最近，国外研究人员监测到伪装成英国司法部的网络钓鱼活动，攻击者将钓鱼邮件伪装成传票主题，指出收件人已被传唤，并被要求点击链接查看案件详情。链接来自受信任的来源(Google Docs和Microsoft OneDrive），但被重定向到恶意地址。一旦受害者点击，将下载包含恶意宏Microsoft Word文件，宏在执行后会通过PowerShell下载信息窃取恶意软件Predator The Thief(捕食者小偷)，已经观察到保险和零售公司的员工收到了这些电子邮件。Predator The Thief的目标是窃取加密货币钱包、浏览器、FTP和电子邮件凭证信息，同时还会获取受感染系统的屏幕截图，并存储在名为""information.log""的文件中。默认情况下，通过HTTP POST请求将收集到的信息发送给C2服务器网络端点""gate.get""。"
284,恶意软件分析报告 (170),针对制药行业及政企的黑客组织最新攻击活动深度分析,2019/11/7,暂无数据,['暂无数据'],暂无数据,"最近，启明星辰ADLab发现尼日利亚黑客组织针对德国和印度尼西亚的多家制药企业，以及西班牙的政府、企事业单位等机构的攻击活动。攻击者使用伪装成""付款收据""，""银行确认""等财务主题的钓鱼邮件，诱导目标下载其中恶意EXCEL文件，一旦目标在未修复CVE-2017-11882漏洞的计算机上打开，Office文档中的公式编辑器会启动EQNDT32.EXE进程，触发漏洞执行远程payload下载，从而侵入目标系统。攻击载荷会根据地理位置的不同而在受害者电脑上下载并安装Agent Tesla、HawEye Keylogger、NanoCore RAT或NetWire RAT等多款间谍木马，以对攻击目标实施长期的监控控制、敏感信息窃取等恶意行为。同时，还发现该黑客组织攻陷了西班牙一家大型船舶管理公司的官方网站作为情报窃取的秘密回传点，以试图隐藏自身身份。"
285,恶意软件分析报告 (170),新漏洞利用工具包Capesand，假冒区块链博客网站分发恶意负载,2019/11/6,暂无数据,['暂无数据'],暂无数据,趋势科技在2019年10月发现一个名为Capesand的新漏洞利用工具包，该工具包尝试利用Adobe Flash和Microsoft Internet Explorer中的最新漏洞。观察到的恶意活动伪装成区块链博客网站，其中包含用于加载漏洞利用工具包的隐藏iframe，该活动还指向过Rig攻击工具包。Capesand的漏洞利用负载并不包含在其源码中，而是需要时向Capesand服务器API发送请求获取。请求中包括要求的漏洞利用名称、受害者的IP地址、浏览器用户代理等信息。Capesand成功利用后，第一阶段将下载mess.exe并尝试利用CVE-2018-8120升级特权，然后执行njcrypt.exe，提供的有效负载包括njRAT。Capesand的几乎所有功能都重用开源代码，该工具目前还在积极开发中。
286,恶意软件分析报告 (170),钓鱼邮件伪装成用户调研文档，传播Powerfun木马,2019/11/6,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,"腾讯威胁情报中心最近发现一起伪装成某公司用户投诉调研文档的钓鱼邮件攻击。黑客在投递的恶意文档中嵌入恶意宏代码，一旦用户在打开文档时选择执行宏，就会在用户电脑上执行一段Powershell，通过多次解码后，执行Poweshell版开源远控木马Powerfun。木马通过参数设置通信类型及方式，""bind""设置为绑定443端口，作为控制端进行监听连接请求，""reverse""反向连接服务器，作为被控端建立连接，""Sslcon""为是否采用SSL协议连接。连接成功后木马获取用户名和机器名并上传，根据列表下载模块安装，以及循环读取接受到的Powershell命令执行。"
287,恶意软件分析报告 (170),Anubis银行木马最新活动，仿冒成抖音国际版传播,2019/11/5,暂无数据,['木马后门'],暂无数据,"Anubis是一种主要活动在欧美等地的Android银行木马，其攻击手法主要通过伪装成金融应用、聊天应用、手机游戏、购物应用、软件更新、邮件应用、浏览器应用等一些主流的APP及用户较多的APP进行植入。近期奇安信病毒响应中心捕获到一款仿冒为抖音国际版""TikTok""的恶意软件，经过分析发现该恶意软件为Anubis木马变种。Anubis代码核心以远控为主体，钓鱼、勒索等其它功能为辅，目的则为获取用户关键信息，窃取用户财产。此次发现的仿冒“TikTok”的Anubis木马，其在功能上做了一些改变，并根据实际的需求，增加及优化了一些功能。目前受害者大多均来自俄罗斯，中国国内也有用户中招。"
288,恶意软件分析报告 (170),恶意服务器揭露，托管恶意软件TinyPOS和DopplePaymer,2019/11/5,暂无数据,['勒索软件'],暂无数据,思科研究人员最近发现一台恶意服务器，该服务器托管了大量的恶意文件，如DopplePaymer勒索软件、TinyPOS信用卡捕获恶意软件等。分析表明，恶意软件所有者能够深度访问受害者基础结构，其攻击目标有多个，包括美国一家铝和不锈钢格栅公司。服务器上还存储了受害系统的屏幕截图和凭证转储。服务器上的大部分文件都是DopplePaymer样本，该变体使用备用数据流部分隐藏其数据。TinyPOS恶意软件则是通过批处理安装，将收集到的数据传给硬编码的C2地址 jduuyerm[.]website和IP 185.254.188[.]11。分析发现，185.254.188[.]11解析到许多技术支持主题的域名地址，攻击者可能试图通过仿冒技术支持诱导目标下载或运行其提供的恶意文件。通过分析，研究人员认为攻击者的目标是工业领域的中型企业。
289,恶意软件分析报告 (170),Trik僵尸网络利用SMB协议，分发勒索软件Nemty,2019/11/5,暂无数据,"['僵尸网络', '木马后门']",暂无数据,从Nemty勒索软件最早于2019年9月被发现，最初通过RIG漏洞利用工具包和垃圾邮件活动分发，最近，赛门铁克监测到该恶意软件开始通过Trik(Phorpiex)僵尸网络分发。最新的Trik版本投递一个微型组件，该组件使用服务器消息块(SMB)协议和一系列硬编码凭据连接到远程计算机。首先，SMB组件会检查受感染计算机的％AppData％目录中是否存在winsvcs.txt文件。该文件指示是否已经下载并执行Nemty，如果计算机以前感染过Trik，则存在此文件。同时SMB组件通过随机生成IP地址寻找下一个目标，然后使用常见的管理员用户名和密码尝试通过139端口连接目标，如果访问成功，其将通过SMB协议将自身复制到远程计算机，然后进行一系列感染操作。分发的最新Nemty 1.6版本进行诸多更新，包括将其配置文件、文件ID、公共秘钥存储在注册表项HKEY_CURRENT_USER/Software/NEMTY中，还采用了Windows CryptoAPI代替其自定义的AES-256加密方法等。
290,恶意软件分析报告 (170),APT41新恶意软件MESSAGETAP揭露,2019/11/1,暂无数据,['暂无数据'],暂无数据,国外安全研究人员发现了黑客组织APT41使用新得恶意软件MESSAGETAP，该恶意软件据称被部署在一家电信网络提供商中，用于监控并保存特定的电话号码，IMSI号和关键字中的SMS流量。MESSAGETAP在作为短消息服务中心(SMSC)的Linux服务器上被发现，SMSC负责将短消息服务(SMS)消息路由到指定的接收方，或者在接收方联机之前存储消息。MESSAGETAP是一个64位的ELF数据挖掘程序，最初由安装脚本加载。安装后将尝试每30秒读取一次配置文件，配置文件中存有特定的IMSI、电话号码和关键字。并将其加载到内存中。然后开始监控与服务器之间的所有连接，解析协议层，包括SCTP、SCCP和TCAP。最后，恶意软件从网络流量中解析和提取SMS数据。
291,恶意软件分析报告 (170),Gafgyt木马变种感染小型路由器，用于攻击游戏服务器,2019/11/1,暂无数据,['僵尸网络'],APT41,研究人员近期发现新的Gafgyt木马变种，该木马试图感染IoT设备，包括Zyxel，Huawei和Realtek等知名商业品牌的小型办公室/家庭无线路由器。其使用远程代码执行漏洞来获取访问权限，如CVE-2017-18368 、CVE-2017-17215、CVE-2014-8361 ，并将路由器招募到僵尸网络中来发动Dos攻击。该变体可以同时执行不同类型的Dos攻击，其中的VSE攻击选项包含有效载荷，其采用分布式反射拒绝服务(DrDoS)，利用Valve软件协议，将受感染主机的请求重定向或发射到运行了Valve Source Engine的游戏服务器。
292,恶意软件分析报告 (170),Sality病毒感染3万电脑，伺机窃取数字货币资产,2019/10/31,暂无数据,['木马后门'],暂无数据,腾讯威胁情报中心检测到Sality感染型病毒最近十分活跃，其利用自己创建的P2P网络，传播以盗取、劫持虚拟币交易为目的的剪切板大盗木马，该木马会将粘贴板内容的比特币钱包地址替换为指定钱包，以盗取受害者数字资产。Sality病毒拥有一个内置的URL列表，同时可以从其他受感染的P2P网络中接收新的URL，通过下载，解密和执行列表中的每个URL，Sality可以植入其他木马或者收取推广安装渠道费。该病毒会破坏系统安全设置，感染本地硬盘、可移动存储设备、远程共享目录下的可执行文件。同时还可以利用可移动、远程共享驱动器的自动播放功能进行感染。此次Sality病毒攻击影响超过3万台电脑。
293,恶意软件分析报告 (170),Emotet银行木马再度发力，国内多家企业遭受攻击,2019/10/31,暂无数据,['木马后门'],暂无数据,"Emotet银行木马从9月开始进入活跃状态，最近研究人员监测到Emotet攻击活动再次发力。该恶意活动通过群发包含恶意宏文档附件的钓鱼邮件，钓鱼邮件通常伪装成""发票交易""、""收据""、""会议邀请""等，引诱目标下载。一旦受害者下载并运行doc文档中的宏代码，便会启动powershell下载执行Emotet银行木马775.exe，775.exe运行后将自身拷贝到system32目录下重命名为kdslicense.exe并创建为服务运行。该木马的功能包括收集系统信息，加密后发送至服务器，然后继续下载其他恶意负载，如Qbot，The Trick等木马。"
294,恶意软件分析报告 (170),疑似APT28针对哈萨克斯坦矿业公司的样本分析,2019/10/31,暂无数据,"['水坑式攻击', '鱼叉式网络钓鱼电子邮件', '木马后门']",APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,"国外研究人员发现包含附件""gorodpavlodar.doc""的电子邮件被发送给哈萨克斯坦大型矿业公司员工。电子邮件声称是""Pavlodar市官方""发送，但是其地址实际为""pavlodar.news@bk.ru""。附件内容为俄文，大致为""住宅热水供应时间表""，并且提示收件人""启用内容""以查看受保护的文档。一旦启用，便会执行包含在其中的宏代码，宏删除原始文档，并打开辅助文档""graphic.doc""，该文档包含可执行文件""libssl.exe""的嵌入式宏。该可执行文件将修改注册表""Run""键维持持久性，然后通过HTTP POST请求连接到硬编码的C2地址。研究人员观察到此样本的相关特征与Zebrocy木马相似，因此推测该活动来源于俄罗斯黑客组织APT28。"
295,恶意软件分析报告 (170),Gh0st病毒通过供应链污染传播，HellohaoOCR图像应用中招,2019/10/30,暂无数据,"['供应链攻击', '木马后门']",暂无数据,最近，火绒安全研究人员发现一款名为HellohaoOCR_V3.1的图像识别程序被感染Gh0st后门病毒。通过追踪发现，该程序开发者使用了第三方的易语言模块进行编程，这些模块携带病毒，并且通过易语言外挂交流群等平台散播，以感染编译环境的方式实现供应链污染。同时，HellohaoOCR_V3.1带毒图像识别程序被上传到多个下载站和论坛(包括吾爱破解、PC6下载站、脚本之家等)，从而造成进一步扩散。
296,恶意软件分析报告 (170),恶意安卓应用Xhelper，过去6月之内感染4.5万台设备,2019/10/30,暂无数据,['木马后门'],暂无数据,赛门铁克观察到恶意软件Xhelper在过去6个月里感染了4.5万台设备，该恶意软件一旦被安装在系统上，即便是被卸载后也可以重新安装，并且始终保持隐藏状态。Xhelper作为应用程序组件，由外部事件启动，如连接/断开电源或重启设备和安装/卸载应用时。启动后，恶意软件将自己注册为前台服务，从而降低内存不足时被杀死的概率。一旦Xhelper在受害设备上立足，它就会通过解密存储在其程序包中的恶意有效负载来开始执行其核心恶意功能。然后连接到C2服务器，并等待命令，例如下载其他有效负载来窃取数据或完全接管设备。为了防止通信被拦截，受害设备与C2服务器之间的所有通信均使用SSL 证书固定。
297,攻击模式分析报告 (48),APT10: 跟踪APT41的秘密活动,2021/2/25,暂无数据,[],APT41,Kaspersky研讨会GReAT Ideas. Green Tea Edition
298,攻击模式分析报告 (48),BORG ：一个快速进化的僵尸网络,2021/1/11,暂无数据,"['僵尸网络', '挖矿']",,近日，宙斯盾流量安全分析团队发现大量针对Docker、Kubernetes等服务的异常扫描流量，我们对此深入分析发现，一个专门针对容器虚拟化服务的僵尸网络浮出水面，因其在文件中大量使用BORG字符串，我们将其命名为BORG僵尸网络。 该攻击者脱胎于早前的TeamTNT团伙，但是在当前的攻击中启用了全新的域名和IP，只有在部分较早期的恶意文件中访问了TeamTNT相关的域名。此外比较重要的一点是攻击者在攻击工具箱中编译和打包了大量来自开源社区的攻击或控制组件，其能力也较之前也有了很大的进化，攻击者不再满足于入侵之后植入挖矿木马牟利，而是在入侵之后开始对内网中的其他机器进行探测和入侵，并批量控制这些机器。基于此，我们有理由相信这是一个正处于开发中的、快速进化的僵尸网络
299,攻击模式分析报告 (48),商业远程控制软件误导安装的黑产攻击模式分析,2021/1/5,暂无数据,"['诱饵文件', '伪装']",黄金狗GoldenEyeDog,从2019年以来，奇安信病毒响应中心就一直在关注国内黑产远控市场的发展，在移动端贩卖的远控主要以开源的源代码加壳为主，其余有些使用国外免费的版本的远控，比如我们之前披露过的《阿拉伯木马成功汉化，多款app惨遭模仿用于攻击》，只有极少数的在贩卖自己编写的远控程序，如披露过的《黑产新“基建”：沉淀在上游的“虚拟身份”制造机》，而在PC端除了我们已经披露过利用魔改大灰狼的金眼狗、金钻狗、金指狗等黑产组织外，我们还观察到有些二道贩子在贩卖合法远控，这引起了我们对这一领域的兴趣。 总的来说在长时间的调研后，我们认为黑产团伙对于合法远控软件的恶意利用，仍处于各自为战的“小农”经济时代，尚没有出现一个能够给各类黑产团伙提供完整解决方案的机构或者组织，离“工业化”时代还有很长的路要走。 合法的远程控制软件在未经用户允许的情况下被恶意安装本身并不新奇，之前我们已经披露过多起类似的攻击行动，但在2020年新冠病毒的阴影下，合法远程管理软件被滥用的情况格外严重，所涉及合法远控的种类和投递诱饵的数量远超以往，并且具有通用化的倾向。黑产团伙通过误导、欺骗、伪装的方式使用户在不知情的情况下安装合法远控软件实现远程控制，且合法远控一般都带有数字签名或者在杀软的白名单中，驻留程度高，对一般用户而言，没有办法轻易的删除和卸载，给个人及单位造成了极大的安全隐患。 经过长时间的收集和统计，我们发现大约有五款合法的远控深受华语黑客团伙的青睐，投递的样本主要通过zip压缩包的形式在各类社交群中进行传播，大部分诱饵会采用SFX的形式去静默安装合法远控软件，少数使用Lnk文件启动。下面我们会根据攻击对象分类，结合具体的案例进行分析。 为避免给合法远控软件造成不良的商誉影响，本文隐去了所有被黑产恶意利用的远控软件的名称。但仍然给出了部分软件界面截图，目的是帮助读者了解和识别远控软件，一旦看到电脑中出现类似软件界面，能够知道自己正在安装一款远控类软件，以免在不知情的情况下被误导安装。
300,攻击模式分析报告 (48),腾讯云防火墙捕获H2Miner挖矿木马利用XXL-JOB未授权命令执行漏洞攻击云主机,2020/12/28,暂无数据,"['未授权命令执行', '漏洞利用', '零日漏洞', '远程命令执行']",暂无数据,腾讯安全云防火墙检测到H2Miner挖矿木马使用XXL-JOB未授权命令执行漏洞对云主机发起攻击，攻击成功后执行恶意脚本进而植入门罗币挖矿后门模块进行挖矿操作，该挖矿木马运行时会删除其他竞争对手挖矿木马创建的文件和计划任务。 腾讯安全专家建议XXL-JOB管理任务的政企用户及时加固系统配置、修补漏洞，避免遭遇更多的黑产攻击。用户可参考腾讯安全产品响应清单指引，及时检测、清理恶意威胁
301,攻击模式分析报告 (48),伪冒银行木马“BYL”持续入侵,2020/12/21,暂无数据,"['木马病毒', '鱼叉式网络钓鱼电子邮件']",暂无数据,2020年10月，奇安信威胁情报中心移动安全团队发布报告首次揭露了一个伪冒国内银行应用的的信息窃取木马新家族”BYL”。 2020年12月12日，奇安信威胁情报中心移动安全团队发现到攻击者开始更换网络资产展开新一轮传播，通过奇安信数据监测雷达我们发现到该木马家族短短四天（截至到2020年12月16日）国内影响量级已为千级，为避免更多用户个人财产受到损失，我们对其再次披露。
302,攻击模式分析报告 (48),安全厂商发布被称为SectorD的系列小组活动总结,2020/1/14,暂无数据,['暂无数据'],暂无数据,ThreatRecon团队发布了其2019年所发现的称为SectorD的系列小组活动，对发现的15个SectorD子组进行总结。SectorD系列小组针对与某个国家的政治对抗有关的国家进行了黑客活动，最近的黑客活动的目的是收集高级信息，例如与特定政府对立的人民或国家的政治和外交活动。SectorD系列小组经常对其中东和美国的邻国进行黑客攻击，主要针对企业、大学、IT公司、研究所、能源行业。他们将恶意文档附加到鱼叉式网络钓鱼电子邮件中，并使用已知漏洞进行攻击。在15个小组中，SectorD02小组的活动是在19年最突出，其次是SectorD01和SectorD12小组。
303,攻击模式分析报告 (48),FIN8针对加油站燃油泵PoS系统，窃取支付卡信息,2019/12/16,暂无数据,['暂无数据'],FIN8,Visa最近发布警告，称其去年发现了三起针对加油站燃油泵PoS系统，窃取支付卡信息的攻击活动，并将此活动归因于具有经济网络犯罪背景的FIN8组织。攻击者将包含恶意链接的网络钓鱼邮件发送给目标，恶意链接被点击后将在目标系统安装远程访问木马。攻击者进入系统后，收集系统网络凭据并横向移动到PoS系统环境中。然后使用RAM scraper从PoS系统获取支付卡数据。一些活动中，攻击者使用了基于Ursnif的RM3变体银行木马。针对加油站燃油泵PoS系统的攻击方式中，除了使用RAM scraper外，研究人员还曾观察到使用支持蓝牙的skimmers窃取信息。
304,攻击模式分析报告 (48),钓鱼活动瞄准多国国际政务招标及采购业务，收集用户登陆凭证,2019/12/13,暂无数据,[],暂无数据,钓鱼攻击者仿造了各种国际政务采购环节涉及的部门、邮件服务及快递服务要用到的网站。诱饵文档里嵌套了仿造正规网站登陆页面的链接。目标涉及到包括美国、中国、新加坡、瑞士、南非等国家，覆盖政务、邮件服务、快递物流行业内多个公司。所有用来窃取用户登陆凭证的站点都使用“ cPanel，Inc”颁发的域验证（DV）证书，其子域具有类似的命名规律，并包含了“secure” ，“verification”，“bidding”或“delivery”等要素。特别是大部分子域名命名规则基本与合法网站一样，具有很强欺骗性，而其中典型的域名：leastinfo [。] com，也曾在一次针对亚洲金融机构的零日攻击中被发现。
305,攻击模式分析报告 (48),CypherIT加密服务被揭露，协助恶意软件绕过防病毒检测,2019/12/12,暂无数据,['暂无数据'],暂无数据,国外研究人员最近发现一种协助恶意软件绕过防病毒检测的加密服务，名为CypherIT，该服务通过指定网站公开出售。创建者声称其可以使恶意软件被防病毒产品完全检测不到。该服务被称为打包程序或者在黑客论坛上更普遍地称为crypter。其使用流程为：攻击者使用CypherIT应用程序将恶意文件发送到加密服务器pi.Cypherit[.]org，加密服务器对恶意文件要求的功能(例如持久性、反沙箱、绕过UAC等等)进行包装处理，几秒内就可以处理完成并返回给客户(即攻击者)。根据监测，发现2019年8月至10月期间，所有通过电子邮件发送的恶意可执行文件中，约有13%的恶意文件使用了CypherIT等AutoIt加密程序来隐藏其恶意内容。包括NJRat、AZORult、NetWire、Remcos、NanoCore等流行的恶意软件。
306,攻击模式分析报告 (48),卡巴斯基2020年APT攻击预测,2019/11/20,暂无数据,['暂无数据'],APT-C-26,卡巴斯基通过对过去12个月的APT攻击的总结，预测了2020年可能发生的APT攻击趋势：攻击会趋向于伪装自身的身份将研究人员的注意力转移到另一个攻击组织上，如Lazarus、WildNeutron、Hades等都有过此种行为；攻击将倾向于针对性的勒索软件；滥用在线支付来进行欺诈；更多的基础架构攻击和针对非PC目标的攻击；亚欧贸易路线的地区的攻击将增加；攻击方法越来越复杂；攻击目标的重点将变为移动设备；滥用个人的隐私信息辅助进行攻击。
307,攻击模式分析报告 (48),APT33组织使用多层混淆策略，隐藏其C2基础设施,2019/11/13,暂无数据,['暂无数据'],APT33Elfin,趋势科技最近研究分析表明，APT33组织使用了大约12个实时C2服务器进行定向攻击活动，目标包括中东、美国和亚洲的组织。这些C2域通常托管在云托管代理上，这些代理将来自受感染bots的URL请求转发到共享web服务器的后端，共享web服务器可能托管数千个合法域。后端将漫游器数据回传给专用IP地址上的数据聚合器和漫游器控制服务器。APT33通过带有频繁更改的出口节点的私有VPN网络连接到这些聚合器，然后APT33向bots发出命令，并使用这些VPN 连接从bots收集数据。研究人员通过对该组织私人VPN出口节点的跟踪，发现其中一些IP地址对中东的一家石油勘探公司和军事医院以及美国的一家石油公司的网络进行了侦察。同时，APT33还利用其私有VPN网络访问渗透测试公司网站、网络邮件、漏洞网站、加密货币相关网站，以及阅读黑客博客和论坛。
308,攻击模式分析报告 (48),钓鱼邮件伪装成司法部传票，传播恶意软件Predator The Thief,2019/11/7,暂无数据,['暂无数据'],暂无数据,"最近，国外研究人员监测到伪装成英国司法部的网络钓鱼活动，攻击者将钓鱼邮件伪装成传票主题，指出收件人已被传唤，并被要求点击链接查看案件详情。链接来自受信任的来源(Google Docs和Microsoft OneDrive），但被重定向到恶意地址。一旦受害者点击，将下载包含恶意宏Microsoft Word文件，宏在执行后会通过PowerShell下载信息窃取恶意软件Predator The Thief(捕食者小偷)，已经观察到保险和零售公司的员工收到了这些电子邮件。Predator The Thief的目标是窃取加密货币钱包、浏览器、FTP和电子邮件凭证信息，同时还会获取受感染系统的屏幕截图，并存储在名为""information.log""的文件中。默认情况下，通过HTTP POST请求将收集到的信息发送给C2服务器网络端点""gate.get""。"
309,攻击模式分析报告 (48),神秘APT框架DarkUniverse被曝光，使用鱼叉式钓鱼进行窃密活动,2019/11/6,暂无数据,[],暂无数据,卡巴斯基最近揭露了神秘APT组织框架DarkUniverse的一系列活动，该组织从2009年到2017年一直活跃，这些活动与ItaDuke系列活动存在代码重叠。攻击者主要采用鱼叉式钓鱼手法，向目标发送带有恶意Microsoft Office文档的信函，2018年的攻击活动中大约有20名受害者，受害者包括平民组织和军事组织，分别位于叙利亚，伊朗，阿富汗，坦桑尼亚，埃塞俄比亚，苏丹，俄罗斯，白俄罗斯和阿拉伯联合酋长国。恶意样本在发送之前立即编译，2017年使用的最新样本中包括updater.mod和提供键盘记录功能的gum30.dll文件。updater.mod模块负责连接到C2并下载其他恶意软件模块，包括dfrgntfs5.sqt–用于执行来自C2的命令的模块，msvcrt58.sqt–窃取邮件凭据和电子邮件的模块等，所有的恶意软件模块均使用自定义算法加密。恶意软件配置存储在注册表中的SOFTWARE\AppDataLow\GUI\LegacyP中，其中包括C2账户凭据等信息。
310,攻击模式分析报告 (48),恶意服务器揭露，托管恶意软件TinyPOS和DopplePaymer,2019/11/5,暂无数据,['勒索软件'],暂无数据,思科研究人员最近发现一台恶意服务器，该服务器托管了大量的恶意文件，如DopplePaymer勒索软件、TinyPOS信用卡捕获恶意软件等。分析表明，恶意软件所有者能够深度访问受害者基础结构，其攻击目标有多个，包括美国一家铝和不锈钢格栅公司。服务器上还存储了受害系统的屏幕截图和凭证转储。服务器上的大部分文件都是DopplePaymer样本，该变体使用备用数据流部分隐藏其数据。TinyPOS恶意软件则是通过批处理安装，将收集到的数据传给硬编码的C2地址 jduuyerm[.]website和IP 185.254.188[.]11。分析发现，185.254.188[.]11解析到许多技术支持主题的域名地址，攻击者可能试图通过仿冒技术支持诱导目标下载或运行其提供的恶意文件。通过分析，研究人员认为攻击者的目标是工业领域的中型企业。
