,国家,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
246,日本 (18),“Tick” 组织的持续性攻击分析,2017/7/24,paloalto,"['后门木马', '漏洞利用']",TickREDBALDKNIGHTBronze Butler,黑客组织 Bronze Butler（ 又称 Tick ）自 2012 年以来一直针对日本企业的关键基础设施、重工业、制造业以及国际关系方面展开攻击活动，旨在窃取企业知识产权与其机密信息。有消息指出，该组织似乎还与中国存有潜在联系。
247,日本 (18),,2017/6/22,TrendMicro,"['后门木马', '鱼叉', '式', '钓鱼攻击', '漏洞利用']",BlackTech黑凤梨 T-APT-03,"BlackTech是一个网络间谍组织，以东亚，特别是台湾，有时甚至还包括日本和香港的目标为主。根据其一些C＆C服务器的互斥和域名，BlackTech的攻击活动可能旨在窃取其攻击目标的技术。趋势科技的研究人员已经把近些年来看似不相关的三个网络攻击活动PLEAD, Shrouded Crossbow和Waterbear联系在了一起。研究人员分析了这几种攻击过程的方式，并解析了它们的使用工具，最终发现了共同点，也就是说PLEAD, Shrouded Crossbow和Waterbear实际上是由同一个组织操作的。"
248,意大利 (17),安全厂商披露针对从事制造业意大利公司的攻击活动,2020/5/22,YOROI,['恶意代码'],暂无数据,Yoroi研究人员发现针对全球范围内一些从事制造业的意大利公司的恶意活动，其中一些公司还属于汽车生产链的一部分。这项活动与先前活动Roma225、Hagga、Mana、YAKKA为同一攻击者。PaloAlto的UNIT42团队曾提出了该攻击者与Gorgon组织可能重叠的假设，但没有明确的证据证实这一点。此次活动中，感染链始于带有恶意宏的Microsoft Powerpoint，VBA宏利用mshta.exe下载并执行从pastebin中检索到的恶意代码。恶意代码解码为PowerShell脚本，该脚本从pastebin下载并执行另一个脚本，最终释放有效载荷AgentTesla。
249,意大利 (17),SilverTerrier发起COVID-19为主题的恶意活动,2020/5/7,paloalto,"['网络', '钓鱼攻击']",暂无数据,2019年1月30日至4月30日，Unit 42观察到三个SilverTerrier团伙发起以COVID-19为主题的10个恶意活动。SilverTerrier为Unit 42跟踪尼日利亚网络犯罪团伙涉及的BEC活动所使用的名称。这些活动产生了超过170个网络钓鱼电子邮件，攻击目标包括美国、澳大利亚、加拿大、意大利和英国的政府医疗机构、地方和地区政府、拥有医疗项目/中心的大型大学、地区公用事业、医疗出版公司和保险公司。大多活动中，攻击者首先通过发送伪装成来自合法部门的邮件，然后利用邮件附件office文档（部分利用CVE-2017-11882）、压缩RAR文件或使用PowerShell，下载托管在远程恶意域的wLokibot、AgentTesla、NanoCore RAT等恶意软件。
250,意大利 (17),针对意大利的Ursnif恶意软件又再次活跃,2020/4/17,YOROI,"['垃圾邮件', '恶意软件']",暂无数据,Ursnif是最广泛的威胁之一，它是通过针对意大利和欧洲多个行业的垃圾邮件运动提供的。 最近，我们发现了一种针对意大利组织的新变种。垃圾邮件消息使用带有“ Avviso di Pagamento_xxxx_date ” 等主题的附件，其中xxxx是数字，而date是以“ dd-mm-yyyy ” 格式报告的日期（即“ Avviso di Pagamento_14326_15_04_2020 ”）。我们发现该活动使用的Ursnif / ISFB滴管使用的技术发生了一些重大变化。这场运动的幕后经营者已经采用了新技术来避免被发现，并建议对Ursnif感染链进行重大改变。
251,意大利 (17),近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,2020/3/28,腾讯,"['恶意脚本', '木马后门', ',', '勒索软件', '钓鱼邮件']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotusTA505BITTERBITTER蔓灵花蔓灵花KimsukyTransparentTribe,目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
252,意大利 (17),COVID-19 新冠病毒笼罩下的全球疫情相关网络攻击分析报告,2020/3/26,奇安信,"['远控木马', '木马后门', ',', '勒索软件']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotusAPT-C-01APT-C-01毒云藤绿斑Green SpotDropping ElephantDropping ElephantAPT-C-09白象 摩诃草黄金狗GoldenEyeDogBahamut,自今年年初新冠病毒在国内全面爆发，奇安信威胁情报中心便立刻意识到在这样的非常时期，网络攻击者绝不会自我“隔离”。保障关键业务系统的安全稳定运行及信息安全、重要网站的正常运转和内容不被篡改、防范和阻断利用疫情相关热点的APT、黑产等网络攻击，是另一个当务之急。 在春节期间，奇安信红雨滴团队和奇安信CERT便建立了围绕疫情相关网络攻击活动的监控流程，以希冀在第一时间阻断相关攻击，并发布相关攻击预警。 截至目前，奇安信红雨滴团队捕获了数十个APT团伙利用疫情相关信息针对境内外进行网络攻击活动的案例，捕获了数百起黑产组织传播勒索病毒、远控木马等多类型恶意代码的攻击活动。并通过基于奇安信威胁情报中心威胁情报数据的全线产品阻断了数千次攻击。相关详细信息均及时上报国家和地方相关主管部门，为加强政企客户和公众防范意识，也将其中部分信息摘要发布。 在本报告中，我们将结合公开威胁情报来源和奇安信内部数据，针对疫情期间利用相关信息进行的网络攻击活动进行分析，主要针对疫情相关网络攻击态势、APT高级威胁活动、网络犯罪攻击活动，以及相关的攻击手法进行详细分析和总结。
253,意大利 (17),Ursnif木马新攻击活动针对意大利用户,2020/3/19,YOROI,"['网络钓鱼', '电子邮件']",暂无数据,Cybaze-Yoroi ZLab发现一项针对意大利用户的新Ursnif攻击活动。攻击初始通过恶意电子邮件分发带密码保护的Word文档，输入密码打开文档后，将执行混淆的批处理脚本。然后，该脚本将创建一个新VBS脚本，VBS脚本通过加载两个对象“WinHttp.WinHttpRequest.5.1”和“ADODB.Stream”以从批处理脚本中包含的URL下载所需组件。下载的文件是SFX/SEA自解压存档，其包含五个具有不同扩展名的文件，运行的一个文件是VBS脚本，它将运行运行批处理脚本，以重命名“driver3213.sys”文件为“plugin.rar” 文件，并通过“ lsassc.exe”实用程序进行提取。“plugin.rar”中的VBS脚本能够覆盖删除一些不再有用的文件，并提取批处理脚本，来执行JS脚本。JS脚本中包含两个用Base64编码的嵌入式有效载荷，第一个可执行文件为伪造的Office更新页面，第二个可执行文件执行后，将在“scvhoster.exe” 重命名，其为Ursnif木马。
254,意大利 (17),利用对冠状病毒的恐慌，黑客瞄准全球受害者,2020/3/12,Recorded Future,"['网络', '钓鱼攻击', '恶意软件']",暂无数据,2020年3月12日，安全公司Recorded Future的安全研究部门 Insikt Group发布《利用对冠状病毒的恐慌，黑客瞄准全球受害者》的报告： 2019年冠状病毒病（COVID-19）的出现给金融、制造业和医疗保健等多个领域带来混乱，同时，它也引发了新的网络安全威胁。Recorded Future观察到，网络上出现一批以COVID-19为主题的网络钓鱼攻击，黑客承诺附件中包含有关于COVID-19的信息，让受害者下载恶意软件或泄露个人信息。许多黑客以及Trickbot、Lokibot和Agent Tesla等恶意软件都使用了这些技术，其攻击目标包括美国、意大利、乌克兰和伊朗。黑客还利用美国疾病控制和预防中心（CDC）、世界卫生组织（WHO），乌克兰卫生部公共卫生中心、中国卫生部等国家卫生机构，以及联邦快递（FedEx）等公司的品牌来获取受害者信任。
255,意大利 (17),新冠病毒主题的垃圾邮件针对意大利传播木马,2020/3/4,SOPHOS,['垃圾邮件'],暂无数据,Sophos研究人员发现以新冠病毒为主题的垃圾邮件活动，针对意大利传播Trickbot木马。垃圾邮件带有据称是为防止感染而采取的预防措施清单的word文档。收件人启用恶意宏后，VBA脚本将连接C2服务器，创建JavaScript释放程序和.bat批处理文件，并使用Windows脚本主机(WSH)命令行工具cscript.exe执行JavaScript释放程序。JavaScript释放程序连接回C2命令，发送计算机名称和其他数据。然后下载一个base64编码的Windows可执行文件，创建一个单独的JavaScript可执行文件解码和执行恶意有效载荷Trickbot。
256,意大利 (17),黑客组织(TA2101)模仿美国、德国、意大利的政府机构，通过钓鱼邮件分发勒索软件、后门木马,2019/11/14,Proofpoint,['暂无数据'],TA2101,"国外研究人员发现一个新黑客组织(TA2101)模仿美国、德国、意大利的政府机构，通过钓鱼邮件分发勒索软件、后门程序和银行木马。针对德国IT支持公司的钓鱼邮件冒充德国联邦财政部，伪装成用户欠税通知，里面包含恶意的Word文档附件，一旦用户打开附件并启用宏，将安装Cobalt Strike和Maze勒索软件。针对意大利组织的钓鱼邮件冒充意大利税务局，伪装成新税收准则，一旦用户打开恶意附件文档，将被指引""启动内容""解密文件，一旦启用则会执行恶意宏，安装Maze勒索软件。针对美国医疗保健行业的钓鱼邮件冒充美国邮政服务，同样提供恶意Word文档附件，手法与针对意大利的活动类似，但最终安装的是IceID银行木马。"
257,意大利 (17),疑似SWEED组织利用Office漏洞，攻击意大利精密工程公司,2019/11/1,marcoramilli,"['鱼叉', '式', '钓鱼邮件', '木马后门']",SWEED,国外研究人员发现针对意大利精密工程公司的攻击活动。攻击者假装客户，将精心制作的恶意电子邮件发送给目标采购部门，其中包含Microsoft XLS文件。该表格利用了Microsoft Office(包括Office 360)中存在的内存损坏漏洞(CVE-2017-11882)。成功利用此漏洞后，攻击者可以在受害者打开恶意文档后在易受攻击的计算机上执行远程代码（甚至无需用户交互）。该漏洞位于Microsoft Office 的EquationEditor（EQNEDT32.EXE）中。一旦受害者打开文档，Object3会运行EquationEditor，并利用内存损坏漏洞执行代码。恶意负载会从注册表中收集访问凭据和令牌信息，并将其发送给C2服务器。研究人员认为该攻击的使用战术和策略，与SWEED组织曾经发起的攻击活动不谋而合，很可能是该组织所为。
258,意大利 (17),垃圾邮件伪装成意大利税收局，传播Maze勒索软件,2019/10/30,BleepingComputer,"['勒索软件', '钓鱼攻击']",暂无数据,"最近，国外安全研究人员发现针对意大利的垃圾邮件活动，垃圾邮件伪装成该国的税收局，并且传播Maze勒索软件。如果一旦用户下载并打开了其中的附件，将被告知该文件已经使用RSA加密，需要用户""启用内容""才能正确查看。一旦用户""启用内容""，则会执行嵌入的恶意宏，下载并执行勒索软件。然后加密计算机，并将系统墙纸更改为勒索信息。目前还无法解密文件。"
259,意大利 (17),新MacOS恶意软件Tarmac，伪装成Flash Player安装程序,2019/10/14,confiant,['木马后门'],暂无数据,最近研究人员发现，针对Mac操作系统的恶意软件Shlayer变体开始下载新的恶意负载Tarmac。Tarmac大概从2019年1月或2月开始活动。执行时OSX/Tarmac启动程序从其资源文件夹中加载OSX/Tarmac，并试图通过询问当前管理员密码来提高权限，然后执行AppleScript，AppleScript以管理员权限加载OSX/Tarmac，并加载模仿Flash Player安装程序的Webview，Webview内容完全由C2控制，可以用于多种攻击。为了让受害者放松警惕，Webview同时会加载从Adobe服务器上下载的真实且合法的Adobe Flash Installer。该恶意软件利用RSA和RC2算法对C2流量进行加密，并使用了MacOS内置密码库和框架，且不维持持久性。样本使用了相同的Apple Developer证书(2L27TJZBZM)签名。研究人员称分发Shlayer和Tarmac恶意软件组合的恶意广告活动针对的是位于美国，意大利和日本的用户。
260,意大利 (17),恶意软件SLoad针对意大利组织，利用合法认证邮件传播,2019/10/4,YOROI,['暂无数据'],暂无数据,"国外研究人员最近发现SLoad恶意软件开始使用合法认证的电子邮件(PEC)传播，针对属于专业协会的意大利组织和顾问，如律师和土木工程师。电子邮件包含恶意zip文档附件，zip文档下包含欺骗用户的PDF文件和混淆的VBScript脚本，该脚本的目的是启动从攻击者基础设施检索到的powershell脚本。恶意程序使用工具""bitsadmin""下载包含powershell脚本的恶意jpg文件，以逃避杀毒软件检测。脚本执行后设置计划任务，以保持持久性，然后会继续下载其他有效负载。"
261,意大利 (17),垃圾邮件活动传播Emotet木马，以斯诺登新书为诱饵,2019/9/30,Malwarebytes LABS,"['鱼叉', '式', '网络钓鱼', '木马后门']",暂无数据,"近期，国外研究人员监测到传播Emotet木马的垃圾邮件活动。攻击者采用鱼叉式网络钓鱼手法，使用斯诺登的新书作为诱饵，以Word形式邮件附件提供。一旦目标打开恶意Word文档，将显示""""尚未激活Word""""的假消息，并提示启用带有黄色安全警告的内容，一旦启用，将执行恶意宏代码，触发PowerShell命令，从受感染的WordPress网站下载Emotet木马。发现的钓鱼邮件包括意大利语，西班牙语，德语和法语版本。"
262,意大利 (17),Ursnif银行木马变种，持续攻击意大利公司,2019/9/4,YOROI,"['漏洞', '攻击', '木马后门', '网络钓鱼']",暂无数据,yoroi研究人员发现新的针对意大利公司的Ursnif木马变种。攻击者使用伪装成发票的邮件，诱导目标下载恶意Excel表格。该表格分发Ursnif木马变种。
263,意大利 (17),危险的TrickBot攻击运动,2019/7/29,YOROI,"['漏洞利用', '鱼叉', '网络钓鱼', '木马后门']",暂无数据,Yoroi研究人员最近发现一个针对意大利公司和机构的攻击活动。攻击者使用伪装成办公室和行政人员通信文档的钓鱼邮件发起攻击。钓鱼邮件里面包含恶意链接，一旦目标点击链接，就会下载恶意压缩文档。恶意文档被打开时，就会触发感染链，使受害者感染Trickbot银行木马变种。
264,意大利 (17),P2P蠕虫在野外传播密码采集器,2019/7/23,YOROI,"['漏洞利用', '鱼叉', '网络钓鱼', '木马后门']",暂无数据,Cybaze-Yoroi ZLAB最近发现一个伪装成著名意大利歌手唱片集的恶意可执行文件，该文件为SFX存档格式，通过BitTorrent下载，SFX存档可以让攻击者隐藏恶意PE内容并降低检测率。
265,印度 (16),Lookout发现与印巴冲突有关的Android间谍软件,2021/2/10,Lookout,"['钓鱼攻击', '木马后门']",Confucius,Lookout威胁情报团队发现两种新型Android监视软件：Hornbill和SunBird，并且其已被APT组织Confucius使用。活动新样本在2020年12月被发现，值得关注的攻击目标包括巴基斯坦原子能委员会申请职位的个人，在巴基斯坦空军的个人，位于巴基斯坦Pulwama区负责选民名册的官员。Hornbill和SunBird具有完善的功能，可以提取SMS，加密的消息应用程序内容和地理位置以及其他类型的敏感信息。SunBird被伪装成以下类型应用程序：安全服务，例如虚构的“ Google安全框架”；绑定到特定地点的应用程序（克什米尔新闻）或活动（“ Falconry Connect”和“ Mania Soccer”）APP；伊斯兰教相关应用程序（古兰经）。 此外，SunBird还可以执行以下操作：从FTP共享下载攻击者指定的内容；如果可能，以root用户的身份运行任意命令；通过可访问性服务爬取BBM消息和联系人；通过无障碍服务获取BBM通知。
266,印度 (16),中国网络间谍渗透印度企业使用的businesses,2020/12/18,Seqrite,"['恶意软件', '远程控制']",暂无数据,印度研究人员发现，几个月前，基于delphi的恶意软件利用SMB漏洞传播。该恶意软件使用的有效负载与开源Gh0stRAT代码有密切的相似之处。Gh0st是一个远程访问木马，具有多种功能，如键盘记录、麦克风监视、从远程服务器下载和执行有效负载、重启计算机、获取系统的远程外壳等。观察到这个恶意软件的目标包括印度相关行业的重要机构，如银行、铁路、牛奶经销商、医院和药品、农业产业、食品生产行业。
267,印度 (16),安全厂商披露多平台恶意软件框架MATA,2020/7/22,securelist,['恶意软件'],暂无数据,卡巴斯基研究人员报告了被称为MATA的恶意软件框架。MATA恶意软件框架具有多个组件，如加载器、协调器和插件。该框架能够针对Windows、Linux和macOS操作系统。研究人员发现MATA在2018年4月左右被使用，并在之后不断被使用渗透波兰、德国、土耳其、韩国、日本和印度等多国企业实体，试图进行数据库查询以获取客户列表。此外，MATA还用于分发VHD勒索软件。研究人员评估MATA框架与Lazarus APT组织存在联系。
268,印度 (16),恶意软件MgBot新变种针对印度和香港,2020/7/21,Malwarebytes LABS,"['钓鱼攻击', '木马后门']",APT40LeviathanAPT23Tropic TrooperGALLIUM,研究人员发现了若干带有嵌入式文件的压缩文件，这些文件伪装成来自印度政府或英国首相鲍里斯·约翰逊（Boris Johnson）关于香港的声明，同时使用模板注入来加载Cobalt Strike变体和被命名为MgBot的加载程序。MgBot通过使用Windows上的应用程序管理（AppMgmt）服务执行并注入了最终的有效负载。MgBot使用了几种抗分析和抗虚拟化技术。代码是自动修改的，可在运行时更改其代码段，以增加静态分析的难度。MgBot中捆绑的最后一段代码是一个远程管理木马，它具有以下功能： 通过TCP进行C2通信；能够截图；键盘记录；文件和目录管理；进程管理；创建MUTEX。
269,印度 (16),Honey Trap行动：APT36攻击印度国防组织,2020/7/8,Seqrite,['暂无数据'],,Seqrite研究人员发现与巴基斯坦有联系的威胁组织APT36的活动有所增加，此次所观察到名为“Honey Trap”的行动针对印度国防组织和其他政府组织的人员。APT36使用美女虚假资料来引诱目标打开其电子邮件或在信息平台上聊天。当目标打开包含的附件时，将释放基于MSIL的Crimson RAT，该RAT用于数据窃取活动并将其发送到CnC服务器。
270,印度 (16),网络钓鱼活动针对印度制造业和出口业,2020/7/6,Seqrite,['网络钓鱼'],暂无数据,Quick Heal Security Labs发现了一个针对印度制造和出口行业的新攻击运动。攻击始于网络钓鱼电子邮件，其中包含带有恶意VBA宏的MS Office PowerPoint文件。执行后，恶意宏会使用预先存在的合法软件从Pastebin下载恶意有效载荷，包括Agent Tesla、Remcos RAT、NanoCore RAT。在此活动中，攻击者使用多种复杂技术绕过防御机制，包括使用LoLBins文件、在合法文件托管服务Pastebin上托管有效载荷、绕过AMSI（反恶意软件扫描接口）、有效载荷在内存中执行。该组织曾发起过名为Roma225、RG、Aggah的行动，目前安全界将这些攻击活动与巴基斯坦Gorgon Group联系起来。
271,印度 (16),研究人员发现PROMETHIUM扩大了影响范围,2020/6/29,Talos,['木马'],暂无数据,PROMETHIUM威胁分子自2012年开始活动，在过去的几年里已经被曝光过多次。通过匹配代码相似度、命令和控制(C2)路径、工具箱结构和恶意行为等指标，Cisco Talos识别了大约30个新的C2域。Talos遥测表明PROMETHIUM正在扩大其覆盖范围，并尝试在多个国家/地区感染新目标。这些样本与StrongPity3相关，目标是哥伦比亚、印度、加拿大和越南的受害者。研究人员观察到，这个小组至少有四个新的木马化安装文件：Firefox(浏览器)、VPNpro (VPN客户端)、DriverPack(一组驱动程序)和5kPlayer(一个媒体播放器)。
272,印度 (16),多阶段APT攻击活动使用Cobalt Strik Malleable C2功能,2020/6/18,Malwarebytes LABS,"['鱼叉', '式', '网络钓鱼', '木马后门']",暂无数据,"Malwarebytes研究人员在6月10日发现一个伪装成简历的恶意Word文档，该文档使用模板注入释放了.Net Loader，疑似通过鱼叉式邮件投递。研究人员认为这是APT攻击有关的多阶段攻击链中的第一部分。攻击过程，恶意Word宏执行有效负载后，需要受害者重启计算机后再进行攻击。攻击者通过将shellcode隐藏在非恶意的JavaScript中，并在不接触磁盘的情况下加载，以阻止安全产品的监测。中间装载机Ecmd.exe是一个.Net可执行文件，其伪装成ESET命令行实用程序，使用了无效的证书进行签名，以模仿ESET。其会向"" http://ip-api.com/xml ""发出HTTP发布请求来检查受害者机器的国家，如果国家/地区代码是“ RU”或“US”，则退出，否则就解密“cf.ini”的内容。ShellCode(cf.ini)使用Cobalt Strike的malleable C2功能结合jquery malleable C2配置文件从“time.updateeset[.]com”下载第二个有效负载。起初，研究人员认为目标是印度，但目标受害者可能会更加广泛。目前攻击归因尚不明确。"
273,印度 (16),利用JsOutProxRAT针对印度金融业的攻击活动分析,2020/5/11,Zscaler,"['后门', '钓鱼邮件']",暂无数据,2020年4月，ThreatLabz监测到几起针对印度政府机构和银行业的攻击事件，在攻击活动者，攻击者已将钓鱼邮件发送给了印度储备银行，IDBI银行，印度农业银行等金融相关机构，邮件附件中包含基于JavaScript和Java的恶意程序。 通过对附件中恶意软件分析发现，基于JavaScript的后门属于JsOutProx RAT家族，该恶意家族最早于2019年12年被披露，同时，基于Java的后门功能也与JsOutProx RAT相似，该家族是具有全功能的JavaScript后门，具有下载执行其他脚本，收集受害者机器信息，重启电脑等功能。
274,印度 (16),PhantomLance：利用应用商店传播的海莲花Android攻击样本分析,2020/4/29,Kaspersky,['后门木马'],暂无数据,Dr.WEB在2019年披露了一个存在于Google Play商店中的后门木马，该木马较之常规恶意软件更为复杂。卡巴斯基基于该报告追溯到一个自2015年至今长期活跃的攻击活动，并将其命名为“PhantomLance”。 该攻击活动主要通过包括Google Play在内的Android应用商店进行传播，通过伪装成浏览器清理工具等诱导受害者下载安装。根据卡巴斯基研究表明，该恶意木马至今已迭代3个版本，主要以窃取受害者设备上的敏感信息为目的。攻击活动与海莲花存在重叠，恶意样本与海莲花 Android样本在代码结构上存在较大的相似度，同时也与海莲花 MacOs后门存在相同的命名方式。
275,印度 (16),研究人员发现Android跟踪器MonitorMinor,2020/3/16,Kaspersky,['暂无数据'],暂无数据,卡巴斯基研究人员发现了一种Android跟踪器MonitorMinor。跟踪器通常用于秘密监视家庭成员或同事的商业软件，新发现的跟踪器具备更多的功能。目标系统如果安装了超级用户类型的应用程序，MonitorMinor将通过特权升级，获取root访问权限，访问Gmail、WhatsApp、Instagram、Facebook等流行的现代通讯工具的用户活动，还可以提取包含屏幕解锁模式的哈希值或密码的文件。MonitorMinor获得根访问权限后，它将系统分区从只读方式重新挂载到读/写模式，然后将其自身复制到其中，从用户分区中删除自身，然后将其重新挂载到只读模式，这样用户将无法使用常规OS工具删除跟踪器软件，从而实现持久性机制。目前该跟踪器在印度被安装的数量最多，其次为墨西哥、德国、沙特阿拉伯和英国。
276,印度 (16),APT36利用新冠病毒热点投送Crimson RAT,2020/3/16,Malwarebytes LABS,"['鱼叉式网络钓鱼攻击', '水坑攻击']",暂无数据,Malwarebytes针对疑似归属于巴基斯坦APT36组织的近期攻击活动进行了分析，其利用新冠病毒主题的诱饵文档投送Crimson RAT。初始攻击利用鱼叉式网络钓鱼邮件，该电子邮件链接到伪装成印度政府的恶意Excel文档，其内容为关于新冠病毒的健康咨询。恶意文档隐藏了两个恶意宏，恶意宏首先创建两个名称分别为“ Edlacar”和“ Uahaiws”的目录，然后检查操作系统类型。根据操作系统类型，宏选择其ZIP格式的有效载荷的32位或64位版本，其存储在UserForm1中的两个文本框中。然后，将ZIP有效载荷放入Uahaiws目录中，并使用“ UnAldizip”功能将其内容解压缩，放入Edlacar目录中。最后，调用Shell函数执行有效载荷，也就是Crimson RAT。Crimson RAT连接到其硬编码的C＆C IP地址，并将收集的有关受害者的信息发送回服务器，包括正在运行的进程及其ID、计算机主机名及其用户名的列表。
277,印度 (16),肚脑虫(Donot)组织和C-Major组织的钩沉拾遗,2019/12/28,安恒信息,"['鱼叉', '攻击']",DonotAPT-C-35肚脑虫TransparentTribe,近期，安恒安全研究院猎影威胁分析团队对肚脑虫(donot)组织进行了一些梳理，在梳理过程中，又发现了一些和 C-Major 组织的关联项。于是对这两个组织做了对比分析。
278,印度 (16),游戏结束：检测并停止APT41操作,2019/8/19,FireEye,"['漏洞', '攻击', '木马后门']",APT41,2019年4月，FireEye管理防御团队在美国一所研究型大学公开访问的网络服务器上发现APT41组织的可疑活动。此活动表明攻击者正在利用Atlassian Confluence Server中的一个漏洞CVE-2019-3396，该漏洞允许路径遍历和远程代码执行。攻击者利用开源的漏洞利用代码作为代码执行工具，下载并执行恶意负载，并部署HIGHNOON后门。后门下载ACEHASH dropper和加密/压缩载荷组件，用于凭证窃取和密码转储。
279,印度 (16),TransparentTribe APT组织2019年针对印度政府、军事目标的攻击活动报告,2019/3/5,腾讯,['暂无数据'],TransparentTribe,"进行2019年以来，腾讯御见威胁情报中心检测到了多起针对印度政府部门、军事目标等的攻击活动，诱饵内容包括""印度空袭分裂主义组织（英译汉）""、""联合国军事观察员（英译汉）""等。经过分析关联确认，攻击组织为TransparentTribe APT组织。"
280,印度 (16),TransparentTribe APT组织最近活动，针对印度军事人员,2018/1/7,minerva,['暂无数据'],TransparentTribe,TransparentTribe APT组织最近活动，针对印度军事人员
281,英国 (15),金牛座计划偷盗者现在通过恶意广告传播,2020/9/24,Malwarebytes LABS,['恶意邮件'],暂无数据,在过去的几个月中， Taurus Project（一种相对较新的窃取器，于2020年春季出现）已经通过针对美国用户的垃圾邮件活动进行了分发。这些宏绑定的文档生成了一个PowerShell脚本，该脚本调用certutil来运行自动脚本，最终负责下载Taurus二进制文件。Taurus最初是由Predator the thief背后的开发者创造的。它拥有许多与Predator the thief相同的功能，即能够从浏览器、FTP、VPN、电子邮件客户端以及加密货币钱包中窃取凭证。这次的恶意广告活动针对成人网站的访问者，受害者大多来自美国，但也有来自澳大利亚和英国。
282,英国 (15),代表欧洲大陆和Worten品牌的网络钓鱼活动目前将在葡萄牙传播,2020/8/17,seguranca,"['社会工程', '网络钓鱼']",暂无数据,代表Continente and Worten品牌的广告系列正在通过SMS（smishing）进行共享，此活动目前正在葡萄牙传播，该活动不仅针对葡萄牙品牌和组织还将其他品牌和国家作为目标，例如西班牙，美国，加拿大，英国，匈牙利等。攻击者通过将受害者引导到目标登陆页面的服务器来收集受害者的详细信息。 这种信息可能会用在这种性质的未来活动中 ，它是通过社会工程针对受害者的，以利用新的网络钓鱼浪潮或可能涉及恶意软件的活动。
283,英国 (15),安全厂商披露Evilnum组织的攻击活动,2020/7/11,WeLiveSecurity,['恶意软件'],,ESET研究人员发现了Evilnum组织的攻击活动。攻击活动目标为金融科技公司，例如，提供在线交易平台和工具的公司，大多数目标位于欧盟国家和英国，但也包括澳大利亚和加拿大等国家。Evilnum使用定制的恶意软件以及从Golden Chickens购买的工具，Golden Chickens是恶意软件即服务（MaaS）提供商，其客户包括FIN6和Cobalt Group。Evilnum组织主要目标是监视其目标并从目标公司及其客户那里获取财务信息，研究人员发现Evilnum还获得了与IT相关的信息访问权限，例如VPN配置。
284,英国 (15),SWEED黑客组织近期动态，针对外贸企业,2020/7/3,启明星辰,"['鱼叉', '式', '网络钓鱼', '电子邮件', '木马后门']",SWEED,"近期，启明星辰ADLab捕获到大量针对全球制造、运输、能源等行业及部分医疗机构发起的鱼叉式钓鱼邮件定向攻击。从邮件的分析结果来看，受害者大多遍布于美国、加拿大、德国、中国、英国、法国、西班牙等国家和地区。攻击者以""装船通知单""、""装箱交货价单""、""紧急运输文件""等主题邮件作为诱饵向攻击目标植入信息窃密木马(Agent Tesla、Formbook、Lokibot)和远程控制程序(NanoCore、Remcos)。通过溯源分析确定此次攻击活动来自尼日利亚，并且关联出了大批量的黑恶意域名(攻击者使用境外的Duck DNS注册动态域名)和IP地址。通过追踪攻击者使用的网络基础设施，发现此次攻击活动最早可追溯到2020年1月。攻击者的攻击动机、攻击目标、作业风格与SWEED黑客组织极为相似，他们还有着相似的攻击习惯，并使用相同窃密木马程序，以及同样风格的C&amp;C地址。因此，研究人员认为这批攻击背后应该就是SWEED黑客组织。攻击者的重点目标为从事对外贸易的中小型企业，其目的是通过植入特定的后门以实现对目标计算机进行信息收集和长期监控，并为接下来的横向移动攻击提供基础。"
