,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
134,ProjectSauron/Strider：顶级的网络间谍平台暗中窃取政府加密通讯数据,ProjectSauron (1),2016-08-16,Kaspersky,暂无数据,ProjectSauron包括一个十分复杂的模块化网络间谍平台，通过隐蔽性非常强的隐藏生存机制，实现对目标进行长期网络间谍活动的目的。相关技术细节展示了攻击者是如何利用该平台学习其他攻击者的先进技术，并避免重复他们此前所犯的错误。例如，所有的东西都设定既定目标，降低其成为其他受害者的威胁指标（IOC）的价值。
135,Putter Panda,Putter Panda (1),2014-06-09,Crowd Strike,暂无数据,Crowd Strike发现疑似中国组织的黑客活动，并在恶意样本活动中分析出相关的线索，溯源到攻击者的社交平台及疑似的工作单位信息。Crowd Strike称这一组织为Putter Panda
136,新的KillDisk变种击中了拉丁美洲的金融组织,Quedagh (4),2018-01-15,TrendMicro,恶意软件,我们遇到了一个针对拉丁美洲金融组织的磁盘擦除KillDisk的新变种。KillDisk与多用途，与网络间谍相关的BlackEnergy在2015年12月底针对乌克兰能源部门以及银行，铁路和采矿业的网络攻击中使用。
137,Crash Override : 当下电网系统面临的安全威胁,Quedagh (4),2017-06-13,Dragos,漏洞攻击,2017年6月8日，Dragos公司收到斯洛伐克的反病毒厂商ESET公司的一则消息，内容与一个针对ICS（工业控制系统）的恶意软件有关。Dragos团队通过这条通知发现了恶意软件样本，分析了恶意软件的新功能和影响范围，并确认这个恶意软件与2016年12月17日发生在乌克兰首都基辅输电变电站的网络攻击事件有关。本报告作为一个行业报告，旨在向电力部门和安全组织解释一下这个恶意软件的潜在影响，对其中的一些细节酌情进行讨论。
138,利用CVE-2014-4114对西藏和香港集团进行攻击,Quedagh (4),2015-06-15,Citizen Lab,社会工程,这篇文章分析了针对西藏散居群体和香港民主团体的恶意软件攻击行为。 这些攻击全部都是利用了CVE-2014-4114漏洞，并通过恶意幻灯片文件（* .pps）传递。 这些攻击具有高度的针对性，在潜伏文档中使用合法内容，并且在部署时具有非常低的反病毒（AV）检出率。 与之前的攻击活动相比，现在针对藏族群体的攻击改变相应的策略。 在过去四年中，我们监测到的针对西藏团体的大多数攻击利用的漏洞为CVE-2010-3333或CVE-2012-0158。对CVE-2014-4114漏洞的利用则是我们在近两年中第一次观察到的攻击模式的变化。
139,BE2自定义插件，路由器滥用和目标配置文件,Quedagh (4),2014-11-03,Kaspersky,恶意软件,卡巴斯基实验室发布对Blackenergy，一个被各种犯罪团伙使用多年的工具的报告。受害国家有俄罗斯，乌克兰，波兰，立陶宛，伊朗，以色列，土耳其，德国，比利时，中国台湾等等。主要针对能源企业，政府，科技公司等。
140,RANCOR：使用PLAINTEE和DDKONG恶意软件系列在东南亚发起的针对性攻击,Rancor (1),2018-06-26,paloalto,鱼叉式网络钓鱼,在整个2017年和2018年，第42单元一直在跟踪和观察一系列针对东南亚的高度针对性的攻击，这是基于我们对KHRAT木马的研究。根据证据，这些攻击似乎是由使用以前未知的恶意软件系列的同一组攻击者进行的。此外，这些攻击似乎在分发所使用的恶意软件以及所选目标方面具有高度针对性。基于这些因素，第42单元认为这些攻击背后的攻击者正在进行间谍活动。
141,TICK组织ENDTRADE活动，使用多阶段后门针对日本目标,REDBALDKNIGHT (4),2019-11-29,TrendMicro,暂无数据,"趋势科技最近揭露了网络间谍组织TICK(又名""BRONZE BUTLER""和""REDBALDKNIGHT"")的最新活动。该组织使用合法的电子邮件账户和证书传播恶意软件，针对国防、航空航天、化学和卫星行业，这些行业的总部在日本，在中国有子公司。在2019年1月，该组织通过窃取日本经济研究公司和公共关系(PR)机构的电子邮件凭据和文件，并将其作为鱼叉式钓鱼邮件发送给精通日语或中文并且对中国经济感兴趣的个人和公司，邮件中包含带有恶意软件有效负载附件。该组织在活动中使用两个新的下载器ABK和BBK，两个新的木马Snake和build_down，这些恶意软件都具有一项重要任务：连接到网站并验证受害系统的卷序列号，以确定是否将发送下载后门的命令，在多个驱动器或卷的实例中，下载器从驱动器C收集信息。TICK还利用Microsoft Office内存损坏漏洞CVE-2018-0802和CVE-2018-0798传播ABK和BBK恶意软件。ABK使用隐写术将额外的负载隐藏在照片中以绕过杀毒软件。BBK同样使用隐写术隐藏恶意负载，其可以从C2服务器网站下载特定文件收集受害者信息，但是该软件不执行命令，研究人员因此推测该工具还在开发阶段。"
142,以东亚为目标的危险活动追踪报告,REDBALDKNIGHT (4),2018-10-18,Cisco,漏洞利用鱼叉攻击木马后门,自2016年以来，思科的Talos组织就开始跟踪的一个曾使用apt对韩国和日本进行了网络攻击的组织。 这个小组有几个不同的名字：Tick，Redbaldknight和Bronze Butler。 尽管每个攻击都使用了自定义工具，但Talos已经发掘了他们工具底层反复使用的攻击手法，并从劫持相关命令和控制（C2）域的交叉部分中解析发现其为同一IP的不同攻击C2。 这些基础架构模式表明Datper，xxmm后门和Emdivi恶意软件系列之间存在相似之处。 在这篇文章中，我们将深入探讨这些相似之处，并研究这些攻击手法的具体过程。
143,BRONZE BUTLER针对日本企业,REDBALDKNIGHT (4),2017-10-12,SecureWorks,后门木马鱼叉式钓鱼攻击漏洞利用0day零日漏洞,Secureworks公司称BRONZE BUTLER的行动表明，其长期以来一直试图渗透日本企业以窃取知识产权及其它机密数据，相关入侵活动还证明，该恶意集团的入侵目标主要集中在关键基础设施、重工业 、制造业以及国际关系网络层面。CTU?研究人员怀疑该组织可能位于中国。
144,“Tick” 组织的持续性攻击分析,REDBALDKNIGHT (4),2017-07-24,paloalto,后门木马漏洞利用,黑客组织 Bronze Butler（ 又称 Tick ）自 2012 年以来一直针对日本企业的关键基础设施、重工业、制造业以及国际关系方面展开攻击活动，旨在窃取企业知识产权与其机密信息。有消息指出，该组织似乎还与中国存有潜在联系。
145,Rocke组织更新LSD恶意软件，使用DNS查询TXT记录作为C2通道,Rocke (3),2019-10-17,Anomali,木马后门恶意扫描,"研究人员发现Rocke组织今年将其C2基础设施从Pastebin上托管脚本转移到域名系统(DNS)文本记录。攻击者利用""lsd.systemten[.]org""和""update.systemten[.]org""的TXT记录作为C2通信通道，这些记录通过常规DNS查询或HTTP-over-HTTPs（DoH）访问。除了更改C2托管策略之外，还向其LSD恶意软件中添加了""StartHttpServer""功能，用于启动侦听本地主机( localhost)TCP端口65533的Web服务器，以保证只有一个恶意软件程序在运行(因为只有一个应用程序可以绑定到特定端口)。恶意软件早期使用弱凭证，通过SSH和Redis访问其他机器，最近发现，恶意软件添加了用于利用ActiveMQ任意文件上传漏洞(CVE-2016-3088)的功能。该恶意软件为了阻止其他矿工感染目标机器，会杀死CPU使用率高的任何其他进程，并且通过文件MD5值识别自身矿工程序，避免误杀。9月，研究人员注意到攻击者开始使用新域名""update.iap5u1rbety6vifaxsi9vovnc9jjay2l[.]com""，同时在同一时间停止了对""update.systemten[.]org""的使用。"
146,Rocke组织恶意软件利用云安全产品来绕过检测,Rocke (3),2019-01-17,paloalto,漏洞攻击挖矿,公有云基础设施是是网络犯罪组织的主要目标之一。意识到现有的云监控和安全产品可能会检测到恶意软件入侵，恶意软件开发者开始创建新的绕过技术来绕过云安全产品的检测。Rocke组织使用的恶意软件变种就证明了基于agent的云安全保护方案可能不足以保护公有云基础设施以免受使用这类绕过技术的恶意软件。
147,范围内的铁网络犯罪集团,Rocke (3),2018-05-29,INTEZER,恶意软件,在过去的一年半中，Iron集团为Windows，Linux和Android平台开发了多种类型的恶意软件（后门，加密矿工和勒索软件）。他们使用恶意软件成功感染了至少数千名受害者。
148,Magic Hound攻击活动针对沙特阿拉伯能源，政府和科技行业,Rocket Kitten (2),2017-02-16,paloalto,暂无数据,"Palo Alto Networks研究人员2月15日发布报告称发现了针对中东的APT行动，最早发现于2016年中旬，称为Magic Hound。主要针对沙特阿拉伯的能源，政府和科技行业，通过分析发现其和一个APT组织Rocket Kitten(也称为Operation Saffron Rose, Ajax Security Team和Operation Woolen-Goldfish）以及更早的一次APT行动Newscasters有关。Magic Hound使用的工具包括包括常规的PE payloads，在.NET Framework中编译的PE文件，各种形式的IRC bots和一个开源的无文件的Python远程访问工具Pupy。攻击手法包括水坑攻击，鱼叉式钓鱼邮件，社工等。其中大多数带有宏病毒的Word文档使用的作者名为gerry knight。"
149,WOOLEN-GOLDFISH行动,Rocket Kitten (2),2015-03-18,TrendMicro,鱼叉式钓鱼,网络间谍小组“Rocket Kitten”，由伊朗人组成，他们的首次活动可以追溯到2014年，主要是通过钓鱼形式来传播木马，从而感染目标受害者。据报道，这个组织现在仍在活动中，最新的攻击活动出现在了2015年10月。 到目前为止，Rocket Kitten发动了两起攻击“GHOLE”恶意软件攻击与一个我们称之为“Operation Woolen-GoldFish”的攻击。该组织通过鱼叉式钓鱼攻击邮件渗透他们的目标系统。经过分析发现，该组织最为感兴趣的目标行业为：国防工业、IT部门、政府与学术组织。
150,新的KillDisk变种击中了拉丁美洲的金融组织,Sandworm (4),2018-01-15,TrendMicro,恶意软件,我们遇到了一个针对拉丁美洲金融组织的磁盘擦除KillDisk的新变种。KillDisk与多用途，与网络间谍相关的BlackEnergy在2015年12月底针对乌克兰能源部门以及银行，铁路和采矿业的网络攻击中使用。
151,Crash Override : 当下电网系统面临的安全威胁,Sandworm (4),2017-06-13,Dragos,漏洞攻击,2017年6月8日，Dragos公司收到斯洛伐克的反病毒厂商ESET公司的一则消息，内容与一个针对ICS（工业控制系统）的恶意软件有关。Dragos团队通过这条通知发现了恶意软件样本，分析了恶意软件的新功能和影响范围，并确认这个恶意软件与2016年12月17日发生在乌克兰首都基辅输电变电站的网络攻击事件有关。本报告作为一个行业报告，旨在向电力部门和安全组织解释一下这个恶意软件的潜在影响，对其中的一些细节酌情进行讨论。
152,利用CVE-2014-4114对西藏和香港集团进行攻击,Sandworm (4),2015-06-15,Citizen Lab,社会工程,这篇文章分析了针对西藏散居群体和香港民主团体的恶意软件攻击行为。 这些攻击全部都是利用了CVE-2014-4114漏洞，并通过恶意幻灯片文件（* .pps）传递。 这些攻击具有高度的针对性，在潜伏文档中使用合法内容，并且在部署时具有非常低的反病毒（AV）检出率。 与之前的攻击活动相比，现在针对藏族群体的攻击改变相应的策略。 在过去四年中，我们监测到的针对西藏团体的大多数攻击利用的漏洞为CVE-2010-3333或CVE-2012-0158。对CVE-2014-4114漏洞的利用则是我们在近两年中第一次观察到的攻击模式的变化。
153,BE2自定义插件，路由器滥用和目标配置文件,Sandworm (4),2014-11-03,Kaspersky,恶意软件,卡巴斯基实验室发布对Blackenergy，一个被各种犯罪团伙使用多年的工具的报告。受害国家有俄罗斯，乌克兰，波兰，立陶宛，伊朗，以色列，土耳其，德国，比利时，中国台湾等等。主要针对能源企业，政府，科技公司等。
154,自2012年以来，圣甲虫袭击者瞄准了精选的俄罗斯目标,Scarab (1),2015-01-22,Symantec,C&C后门,一组被我们称为“圣甲虫”的攻击者，自2012年1月至今一直对俄罗斯境内外的特定俄语语种个体进行高度针对性的攻击。在每个攻击活动中，攻击者通常瞄准少数个体而不是通过经济，军事等方面的诱因对企业或政府发动攻击。 平均来说，每个月只有不到10台独立的计算机被感染，并且没有迹象表明攻击者试图通过受害者的本地网络传播攻击行为，这表明“圣甲虫”在攻击行动上是极具针对性的。 许多“圣甲虫”发起的攻击专注于通过群发具有恶意附件（Trojan.Scieron和Trojan.Scieron.B）的电子邮件。 这些文件包含利用已经由供应商修补的旧漏洞的攻击。 如果攻击者成功地攻破了受害者的计算机，那么他们将使用称为Trojan.Scieron的后门将Trojan.Scieron.B下载至被攻击的计算机。 Trojan.Scieron.B有一个类似于rootkit的组件，其包含了许多网络攻击行为且具有更多更强大的后门功能。
155,疑似Group123针对中韩外贸人士攻击活动分析,ScarCruft (3),2019-10-29,腾讯,钓鱼攻击木马后门,腾讯威胁情报中心检测到针对中韩贸易相关人士的钓鱼攻击活动，该活动疑似来自于朝鲜黑客组织Group123(APT37)。使用的诱饵名字包括韩文和英文的.rar文档。解压后伪装成word图标和名字的可执行文件，该执行文件实际为一个下载器，下载器通过请求链接地址http://artmuseums[.]or.kr/swfupload/fla/1.jpg下载一个隐藏了RAT代码的jpg文件。木马会从同目录的配置文件中获取C2信息，然后对指定目录下的指定扩展名文件进行扫描打包，上传到C2服务器。C2域名为韩国博物馆网站，分析人员推测，攻击者先攻击了该网站，然后将其作为C2，以此来躲避查杀。
156,ScarCruft继续发展，推出了蓝牙收割机,ScarCruft (3),2019-05-13,Kaspersky,鱼叉式网络钓鱼战略网络妥协,我们最近在这个演员身上发现了一些有趣的遥测，并决定深入研究ScarCruft最近的活动。这表明演员仍然非常活跃，并不断尝试详细说明其攻击工具。根据我们的遥测技术，我们可以重新组装ScarCruft的二元感染程序。它使用多阶段二进制感染来有效地更新每个模块并逃避检测。
157,Red Eyes黑客组织浮出水面，疑为ProgamsByMe活动幕后策划,ScarCruft (3),2018-08-16,AhnLab,暂无数据,"Red Eyes黑客组织又被成为Geumseong121, Group 123, ScarCruft, APT37, Reaper以及Ricochet Chollima，主要针对韩国政府及媒体相关从业者，通常利用电子邮件、手机短信分发恶意的文件链接，钓鱼文档多使用伪造的政府要闻及时事政治吸引受害者上钩，也试图通过伪装Adobe&amp;Office的安全更新或是盗版程序攻击目标机构。近日，有研究人员通过该组织的恶意样本分析Red Eyes很可能就是是2015年ProgamsByMe行动的幕后策划者；或者至少与之直接或间接地联系在一起。"
158,国家移动恶意软件用COVID-19诱饵攻击叙利亚人,SEA (2),2020-04-15,Lookout,木马,叙利亚电子军以COVID-19诱饵则针对叙利亚人，安卓木马软件。Lookout研究人员发现71个恶意Android应用程序连接到同一命令与控制（C2）服务器。C2服务器的IP地址位于Tarassul Internet Service Provider所拥有的地址块中，Tarassul Internet Service Provider是叙利亚电信局（STE）拥有并与之共享网络基础架构的ISP（自由之家，2018年）。STE拥有为叙利亚国家资助的黑客组织叙利亚电子军（SEA）托管基础设施的历史。值得注意的是，先前由Lookout研究人员报告的Android恶意软件家族SilverH awk的C2服务器位于STE的IP地址上。
159,Syrian Malware Team使用BlackWorm恶意软件进行攻击,SEA (2),2014-08-29,FireEye,暂无数据,The Syrian Malware Team，我们发现这个组使用称为BlackWorm的.NET的RAT来渗透他们的目标。
160,发布Kraken:无文件APT攻击滥用Windows错误报告服务,SeaLotus (24),2020-10-06,Malwarebytes LABS,鱼叉式网络钓鱼攻击,9月17日，我们发现了一种名为Kraken的新攻击，该攻击将其有效负载作为防御逃避机制注入了Windows错误报告（WER）服务。 当与操作系统，Windows功能或应用程序相关的错误发生时，通常会调用该报告服务WerFault.exe。当受害者看到他们的计算机上运行WerFault.exe时，他们可能认为发生了一些错误，而在这种情况下，他们实际上已成为攻击的目标。 尽管这项技术不是什么新技术，但这项运动很可能是APT小组的工作，该小组先前曾使用网络钓鱼攻击，诱使受害者提出工人赔偿要求。威胁行动者入侵了一个网站以托管其有效负载，然后使用CactusTorch框架执行无文件攻击，然后采用多种反分析技术。
161,越南国家背景APT组织“海莲花”近期攻击手法的变化,SeaLotus (24),2020-08-20,微步在线,诱饵文件,近期，微步情报局捕获到多个“海莲花”组织样本，从5月至7月份期间该组织针对越南地区的攻击手法来看，主要变化体现在投递的诱饵文件上面。涉及三种类型包括：白利用结合压缩包、（SFX）RAR自解压文件和携带宏代码的MIME格式文档。除诱饵类型的变化外，花指令、文件体积、ShellCode存放方式、外壳加载层数也存在变化。
162,【微步在线报告】越南国家背景APT组织“海莲花”近期攻击手法的变化,SeaLotus (24),2020-08-20,微步在线,钓鱼攻击木马后门,近期，国内厂商发现海莲花组织的多个恶意样本，主要变化体现在投递的诱饵文件上面。投递方式包括：攻击者将带数字签名的Office组件和恶意DLL打包成压缩包，并且白文件后缀名会携带较长的空格符号用于迷惑受害者；攻击者将带数字签名的iTunes组件、恶意DLL和加密ShellCode文件打包成SFX自解压程序；攻击者将携带宏代码的DOC文档保存成MIME格式投递。通过社会工程学诱导受害者点击执行，使用白利用方法绕过安全检测，最终加载的后门包括：CobaltStrike Beacon、DenesRAT等。
163,海莲花APT组织最新样本分析,SeaLotus (24),2020-06-17,Malwarebytes LABS,社会工程学鱼叉攻击木马后门水坑攻击,OceanLotus(海莲花)APT组织是一个长期针对中国及其他东亚、东南亚国家(地区)政府、科研机构、海运企业等领域进行攻击的APT组织，该组织也是针对中国境内的最活跃的APT组织之一，该组织主要通过鱼叉攻击和水坑攻击等方法，配合多种社会工程学手段进行渗透，向境内特定目标人群传播特种木马程序，秘密控制部分政府人员、外包商和行业专家的电脑系统，窃取系统中相关领域的机密资料，通过追踪它这些年的攻击手法和攻击目标，OceanLotus很有可能是具有国外政府支持背景的、高度组织化的、专业化的境外国家级黑客组织 初期的OceanLotus特种木马技术并不复杂，容易发现和查杀，2014年OceanLotus特种木马开始采用包括文件伪装、随机加密和自我销毁等一系列复杂的攻击技术与安全软件进行对抗，随后OceanLotus特种木马又开始转向云控技术，攻击的危险性、不确定性与木马识别查杀的难度都大大增强 OceanLotus(海莲花) APT组织擅长使用鱼叉攻击和水坑攻击，NSA武器库曝光后，还使用了永恒系列漏洞进行攻击，投递的攻击武器种类比较多，RTA包括：Denis、CobaltStrike、PHOREAL、salgorea、类gh0st、Ratsnif等。
164,APT32利用疫情信息针对武汉政府和中国应急管理部门的攻击活动,SeaLotus (24),2020-04-22,FireEye,鱼叉式网络钓鱼电子邮件,Fireeye Mandiant 威胁情报团队称，自2020年1月至今，疑似海莲花（APT32）组织对中国政府相关机构进行了入侵活动，攻击者将鱼叉式网络钓鱼邮件发送给了中国紧急情况管理部以及武汉市政府，Mandiant 认为此攻击活动是为了收集COVID-19相关的情报信息。 第一起已知的攻击活动发生在2020年1月6日，攻击者将主题为“办公设备招标第一季度结果报告”的电子邮件发送给中国紧急情况管理部门，并在邮件中插入探针，一旦受害者打开邮件，该探针将向远程发送受害者的电子邮件地址。 Mandiant 还发现海莲花以COVID-19为诱饵针对中国，该诱饵文档名为“COVID-19实时更新：中国目前正在追踪所有来自湖北省的旅行者”，该诱饵文档打开后将在受害者计算机中执行shellcode以收集计算机名，用户名。最终将加载METALJACK有效载荷从而控制受害者计算机。
165,近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,SeaLotus (24),2020-03-28,腾讯,"恶意脚本木马后门,勒索软件钓鱼邮件",目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
166,COVID-19 新冠病毒笼罩下的全球疫情相关网络攻击分析报告,SeaLotus (24),2020-03-26,奇安信,"远控木马木马后门,勒索软件",自今年年初新冠病毒在国内全面爆发，奇安信威胁情报中心便立刻意识到在这样的非常时期，网络攻击者绝不会自我“隔离”。保障关键业务系统的安全稳定运行及信息安全、重要网站的正常运转和内容不被篡改、防范和阻断利用疫情相关热点的APT、黑产等网络攻击，是另一个当务之急。 在春节期间，奇安信红雨滴团队和奇安信CERT便建立了围绕疫情相关网络攻击活动的监控流程，以希冀在第一时间阻断相关攻击，并发布相关攻击预警。 截至目前，奇安信红雨滴团队捕获了数十个APT团伙利用疫情相关信息针对境内外进行网络攻击活动的案例，捕获了数百起黑产组织传播勒索病毒、远控木马等多类型恶意代码的攻击活动。并通过基于奇安信威胁情报中心威胁情报数据的全线产品阻断了数千次攻击。相关详细信息均及时上报国家和地方相关主管部门，为加强政企客户和公众防范意识，也将其中部分信息摘要发布。 在本报告中，我们将结合公开威胁情报来源和奇安信内部数据，针对疫情期间利用相关信息进行的网络攻击活动进行分析，主要针对疫情相关网络攻击态势、APT高级威胁活动、网络犯罪攻击活动，以及相关的攻击手法进行详细分析和总结。
167,越南国家背景APT组织“海莲花”利用疫情话题攻击我国政府机构,SeaLotus (24),2020-03-16,微步在线,木马,近期，微步情报局捕获“海莲花”利用疫情话题针对我国发起攻击活动的样本文件。 攻击者以“湖南省家禽H5N1亚型高致病性禽流感疫情情况”、“冠状病毒实时更新：中国正在追踪来自湖北的旅行者”等时事热点为诱饵进行鱼叉攻击，攻击活动或发生于今年2月。利用带数字签名的WPS文件，通过社会工程学诱导受害者点击执行，运行以后会通过侧加载方式装载恶意DLL，释放诱饵文档并且在内存中加载DenesRAT木马。DenesRAT木马具备文件操作、注册表读写、设置环境变量和远程执行代码等功能的后门，该后门被插入大量花指令用于对抗分析。
168,黑客组织海莲花攻击宝马汽车集团，窃取商业机密,SeaLotus (24),2019-12-06,360,暂无数据,"根据国外新闻报道，黑客组织海莲花攻击了慕尼黑宝马汽车公司（始于2019年春季）的计算机网络和韩国现代汽车网络。6月份时，宝马公司将有关计算机进行了脱网处理。黑客通过创建一个仿冒泰国宝马分公司网站来进行钓鱼，从而窃取目标信息。分析发现黑客组织应是从BR Recherche攻击了计算机攻击者，然后安装Cobalt Strike来进行攻击。自2018年底以来，汽车工业也逐步成海莲花组织的关注焦点。不止于宝马，丰田汽车公司也曾惨遭""海莲花""毒手。通过进一步发现，2019年6月越南企业集团Vingroup开设了第一家生产汽车的工厂。而有资料显示，在越南开始制造汽车时，该组织就开始将攻击目标聚焦于汽车制造商。"
169,“海莲花”(OceanLotus)2019年针对中国攻击活动汇总,SeaLotus (24),2019-12-05,腾讯,暂无数据,整个2019年，该组织持续对多个目标不断的进行攻击，使用的鱼叉攻击邮件主题非常本土化，如使用网易邮箱，贴近时事热点等。新增诱饵类型：伪装为word图标的可执行文件、chm文件等。不断更新对抗方式：使用多重载荷攻击、定制化第二阶段后门，C2拼接，自增文件大小等。利用的定制化恶意软件为：CobaltStrike的beacon木马、Denis家族木马、修改版的Gh0st。
170,疑似海莲花又有新活动，攻击目标似为国内大型企业,SeaLotus (24),2019-11-13,安恒,暂无数据,近期安全研究院猎影威胁分析团队在文件威胁分析平台上监控发现疑似海莲花组织又有新的活动出现，其攻击目标似为国内大型企业。
171,来自OceanLotus的新网络害虫,SeaLotus (24),2019-07-01,THREATVECTOR,C&C,OceanLotus Group（又名APT32，CobaltKitty）正在使用一套名为“Ratsnif”的远程访问木马来利用新的网络攻击功能。Blackberry Cylance威胁研究人员分析了Ratsnif特洛伊木马，它提供了一种名副其实的瑞士军刀网络攻击技术。自2016年以来积极开发的特洛伊木马程序结合了数据包嗅探，网关/设备ARP中毒，DNS中毒，HTTP注入和MAC欺骗等功能。
172,OceanLotus利用新方法针对越南环境集团,SeaLotus (24),2019-06-20,奇安信,C&C,据称，APT集团OceanLotus拥有越南背景，于2015年5月首次曝光并由SkyEye Labs（QiAnXin威胁情报中心RedDrip团队的前身）命名。其攻击活动可以追溯到2012年4月。目标包括中国海事机构，海事建设，科研院所和航运企业。他们的目标后来扩展到几乎所有重要组织，相关活动现在仍然活跃。
173,海莲花团伙对中南半岛国家攻击活动的总结：目标、手法及技术演进,SeaLotus (24),2019-05-08,奇安信,网络钓鱼,OceanLotus是一家拥有越南背景的APT集团。该团队于2015年5月首次由SkyEye团队发布并命名。其攻击活动可以追溯到2012年4月。目标包括中国的海事机构，海事建筑，科研机构和航运企业。
174,OceanLotus隐写术,SeaLotus (24),2019-04-02,BlackBerry Cylance,木马后门,BlackBerry Cylance最近在我们对OceanLotus（APT32）小组的持续监控期间发现了一种新颖的恶意软件有效载荷装载器。加载程序使用隐写术来读取隐藏在.png图像文件中的加密有效负载。
175,跟踪OceanLotus的新下载程序KerrDown,SeaLotus (24),2019-02-01,paloalto,钓鱼攻击,OceanLotus (也叫做APT32)，其主要攻击目标是东南亚。过去几年发生的多起攻击活动都与APT 32有关，虽然APT 32的攻击活动是全球性的，但其主要活动在APAC区域，主要攻击目标包括多个行业、外国政府、与越南相关的活动家和持不同政见者。本文介绍OceanLotus从2018年初开始使用的定制的下载器恶意软件KerrDown。研究人员在分析过程中还使用了Jaccard index（Jaccard相似系数）算法来找出KerrDown恶意软件家族与数据库中其他恶意软件家族的相似性。研究人员一共发现两种传播 KerrDown下载器的方法。第一个是使用含有恶意宏的office文档，第二个方法是使用含有DLL侧加载的合法程序的RAR文件。
176,OceanLotus组织使用的恶意程序分析报告,SeaLotus (24),2018-10-17,BlackBerry,漏洞利用鱼叉攻击木马后门水坑攻击,威胁研究人员发现了几个由Oceanlotus Group（APT32，Cobalt Kitty）部署的定制后门，以及使用CobaltStrike Beacon后门攻击的证据。攻击者通常在环境中利用PowerShell，使用程序下载/部署恶意软件，以及来自各种漏洞工具包（包括MSFvenom、Veil和Dkmc）的PE/Shellcode加载，大部分恶意软件都是在内存中运行，不需要磁盘占用。
177,,SeaLotus (24),2018-04-27,腾讯,后门木马鱼叉式钓鱼攻击漏洞利用,海莲花（OceanLotus）也叫APT32或APT-C-00，是一个长期针对中国及其他东亚国家（地区）政府、科研机构、海运企业等领域进行攻击的APT组织。
178,OceanLotus组织新的Macos后门分析,SeaLotus (24),2018-04-04,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,我们确定了一个MacOS后门（趋势科技检测为OSX_OCEANLOTUS.D），我们认为它是OceanLotus（又名APT 32，APT-C-00，SeaLotus和Cobalt Kitty）使用的威胁的最新版本.OceanLotus负责 针对人权组织，媒体组织，研究机构和海事建筑公司发起有针对性的攻击.OSX_OCEANLOTUS.D背后的攻击者瞄准安装了Perl编程语言的MacOS计算机。
179,OceanLotus APT （海莲花）在近期攻击中使用了新后门,SeaLotus (24),2018-03-14,ESET,后门木马鱼叉式钓鱼攻击漏洞利用,ESET 发布分析报告称 OceanLotus APT 组织在其最近的攻击活动中使用了新的后门，旨在获得远程访问以及对受感染系统的完全控制权。目前 OceanLotus 会在其攻击活动中不断更新工具集，这显示了该组织通过选择目标保持隐藏的意图。此外，OceanLotus 也限制其恶意软件的分发以及使用多个不同的服务器来避免将注意力吸引到单个域名或 IP 地址。
180,海莲花（OceanLotus）大规模数字监视和攻击，主张东盟，亚洲国家，媒体，人权组织和民间社会,SeaLotus (24),2017-11-06,Volexity,后门木马鱼叉式钓鱼攻击漏洞利用水坑攻击,2017年11月6日，国外安全公司Volexity发布了一篇关于疑似海莲花APT团伙新活动的报告，该报告指出攻击团伙攻击了与政府、军事、人权、媒体和国家石油勘探等有关的个人和组织的100多个网站。通过针对性的JavaScript脚本进行信息收集，修改网页视图，配合社会工程学诱导受害人点击安装恶意软件或者登陆钓鱼页面，以进行下一步的攻击渗透。
181,海莲花组织针对亚洲某公司的APT攻击—Cobalt Kitty 行动分析,SeaLotus (24),2017-05-24,cybereason,社会工程学钓鱼邮件,本文是针对一次被称为 Operation Cobalt Kitty的APT攻击的报告内容精华版，该APT攻击的目标是针对亚洲一家全球性公司来窃取他们的重要商业信息。攻击者以钓鱼攻击作为初始渗透载体，以公司的顶级管理为目标，最终入侵了副总裁电脑，当然还有很多高级主管和运营部门的其他关键人员。在Operation Cobalt Kitty攻击过程中，攻击者破坏了超过40台PC和服务器，包括域控制器，文件服务器，Web应用服务器和数据库服务器。
