,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
89,“白象三代”APT组织攻击活动披露,白象 (12),2020-03-13,微步在线,"钓鱼攻击,木马后门",2020年2月1日，微步情报局监测发现境外攻击者借“新冠肺炎”疫情对我发起定向攻击，通过对攻击发起者的手法、木马特点及攻击资产深入分析发现，其幕后组织具备印度国家背景。 此次攻击活动，其攻击目标涉及我国西藏地区政府机构、航空航天相关企业、科技机构、高等院校、医疗机构等，其中主要攻击目标为声光技术等相关的科技机构或实验室。攻击者与此前长期针对我国印度背景APT组织“白象”在网络资产、攻击目标、攻击手法具有一定相似性，但在武器层面发生了较大调整，鉴于攻击APT攻击活动持续性强这一特点，我们将该阶段攻击发起者命名为“白象三代”。“白象三代”至少于2019年3月起开始针对我国科研人员发起钓鱼攻击，并在下半年开始投递Windows平台、Android平台远控木马，其在攻击活动中使用了大量仿冒我国政府、科研、媒体机构等域名，是一只具有多平台网络攻击能力、网络武器库储备的黑客团队。
90,摩诃草团伙利用公用平台分发C2配置攻击活动揭露,白象 (12),2019-08-26,奇安信,漏洞攻击网络钓鱼,近期，奇安信威胁情报中心红雨滴团队利用公开情报发现一个摩诃草团伙的XLSM诱饵文档样本，经过分析发现其载荷主要通过 Github 和 Feed43获取加密的 C&amp;C 配置。通过关联分析我们找到了更多被摩诃草利用的 Github 地址，最早可以追溯到2018年7月，并且截至报告完成时，相关账号依然在使用。 本文主要对Github上配置文件的解密算法分析和通过解密的数据总结出攻击者的一些活动特征。
91,疑似白象组织针对巴基斯坦、孟加拉国等南亚国家的最新攻击活动报告,白象 (12),2019-04-19,腾讯,漏洞利用鱼叉网络钓鱼木马后门,腾讯御见威胁情报中心捕获到一例使用鱼叉攻击疑似针对巴基斯坦政府部门的攻击样本，攻击者构造具有恶意宏代码的word文档做为邮件附件发送到攻击目标邮箱，诱饵文档内容包含对PAEC（巴基斯坦原子能委员会）的相关描述。除了巴基斯坦的目标外，我们还发现疑似有孟加拉国某组织的高级技术管理人员也被进行了攻击。 经过关联分析，该次攻击疑似白象组织所为。而有意思的是，经过对基础设施的关联分析，我们还发现某次攻击，而该攻击活动又可以关联到BITTER（蔓灵花）组织。
92,揭秘摩诃草组织攻击活动,白象 (12),2018-11-09,安恒,暂无数据,"报告披露，摩诃草组织(APT-C-09),又称HangOver、VICEROY TIGER、The Dropping Elephant、Patchwork,是一个来自于南亚地区的境外APT组织,该组织已持续活跃了7年。该组织2015年12月（也有报告称早在2014年开始的）开始针对与中国南海问题相关的世界各国政府、军方和相关机构进行APT攻击。攻击一般以相关南海问题的文档为诱饵，诱使用户点击。如果用户没有安装补丁，文档打开后会嵌入执行CVE-2014-4114漏洞代码。从而部署攻击载体，绕过UAC，获得更高权限之后，以Meterpreter方式执行powersploit脚本。然后开始对文档和目标主机价值进行筛选判断，如果目标足够有价值，攻击者再次进行第二阶段攻击。"
93,疑似摩诃草组织最新攻击样本，使用新域名钓鱼用户主机名等基础信息,白象 (12),2018-09-27,360,暂无数据,9月中上旬，360 CERT在处理恶意样本时发现一例疑似摩诃草组织的攻击样本。该样本C2指向filepiece.com。分析人员表示这可能是摩诃草组织一个新的，准备或正在投入使用的域名资产。该样本是一个Dropper。属于攻击链条的中间环节。其主要功能是获取目标对象的用户名、计算机名等基础信息。将这些基础信息编码后回传C2服务器，并从C2服务器下载下一阶段攻击载荷继续执行。并设置开启自启动。通过样本功能和代码结构的对比，研究人员确认该样本与摩诃草组织今年5月的攻击样本属于同源样本。filepiece.com域名在本次攻击中作为C2域名使用。持续跟踪显示，该域名在9月25日主页解析产生变化。由于主机空间提示信息路由地址尚存在，表明该域名正受到控制，也正在被使用。
94,摩诃草利用Office CVE-2017-8570漏洞，针对我国敏感机构开展网络钓鱼攻击,白象 (12),2018-04-02,奇安信,暂无数据,在2018年春节前后，360威胁情报中心与360安全监测与响应中心协助用户处理了多起非常有针对性的鱼叉邮件攻击事件，发现了客户邮件系统中大量被投递的鱼叉邮件，被攻击的单位为某些重要敏感的政府机构。而经过溯源分析与关联，幕后团伙正是摩诃草组织（APT-C-09）。360威胁情报中心在本文中对本次攻击活动的过程与细节进行揭露，希望企业组织能够引起重视，并采取必要的应对措施。
95,摩诃草APT团伙新脚本类攻击样本分析报告,白象 (12),2018-01-03,360,暂无数据,360威胁情报中心在近期对“摩诃草”组织的攻击活动监测过程中，发现其投入使用的新的攻击样本。“摩诃草”组织主要针对我国的政府机构、科研教育领域以及军事领域的目标人员进行攻击，其主要使用鱼叉攻击，也使用基于即时通讯工具和社交网络作为恶意代码的投递途径。其攻击使用的恶意代码主要针对Windows系统，历史也出现过针对其他平台的恶意代码。对此360发布了相关分析报告，揭露该组织最新的攻击技术细节。
96,血茜草：永不停歇的华语情报搜集活动,毒云藤 (3),2020-10-13,奇安信,网络钓鱼,奇安信威胁情报中心红雨滴安全研究团队于2011年开始持续对华语来源的攻击活动进行追踪，并在近些年来发布了多篇关于APT组织毒云藤和蓝宝菇的分析报告。 但发布报告并不能制止该华语来源的攻击，反而变本加厉，在近些年来无休无止的进行网络情报窃取，试图大量搜集重点单位的资产，因此奇安信威胁情报中心仍在持续对这两个APT组织进行追踪。 如此前有所不同的是，如今该华语来源的攻击活动趋向渔网化，通过批量与定向投方相结合，采取信息探测的方式辅助下一步的定点攻击。该情报搜集活动被我们命名为“血茜草行动”(Operation Rubia cordifolia)，由于”血茜草”同”蒐”，而蒐一字经常用在繁体中文”蒐集情報”一词中，顾如此命名。目前我们将该系列攻击活动归属于著名的毒云藤组织。
97,COVID-19 新冠病毒笼罩下的全球疫情相关网络攻击分析报告,毒云藤 (3),2020-03-26,奇安信,"远控木马木马后门,勒索软件",自今年年初新冠病毒在国内全面爆发，奇安信威胁情报中心便立刻意识到在这样的非常时期，网络攻击者绝不会自我“隔离”。保障关键业务系统的安全稳定运行及信息安全、重要网站的正常运转和内容不被篡改、防范和阻断利用疫情相关热点的APT、黑产等网络攻击，是另一个当务之急。 在春节期间，奇安信红雨滴团队和奇安信CERT便建立了围绕疫情相关网络攻击活动的监控流程，以希冀在第一时间阻断相关攻击，并发布相关攻击预警。 截至目前，奇安信红雨滴团队捕获了数十个APT团伙利用疫情相关信息针对境内外进行网络攻击活动的案例，捕获了数百起黑产组织传播勒索病毒、远控木马等多类型恶意代码的攻击活动。并通过基于奇安信威胁情报中心威胁情报数据的全线产品阻断了数千次攻击。相关详细信息均及时上报国家和地方相关主管部门，为加强政企客户和公众防范意识，也将其中部分信息摘要发布。 在本报告中，我们将结合公开威胁情报来源和奇安信内部数据，针对疫情期间利用相关信息进行的网络攻击活动进行分析，主要针对疫情相关网络攻击态势、APT高级威胁活动、网络犯罪攻击活动，以及相关的攻击手法进行详细分析和总结。
98,毒云藤（APT-C-01）军政情报刺探者揭露,毒云藤 (3),2018-09-20,360,漏洞攻击鱼叉攻击木马后门,从2007年开始至今，360追日团队发现毒云藤组织对中国国防、政府、科技、教育以及海事机构等重点单位和部门进行了长达11年的网络间谍活动。该组织主要关注军工、中美关系、两岸关系和海洋相关领域，其关注的领域与我们之前发布的海莲花（OceanLotus）APT组织有一定相似的地方。 360追日团队捕获毒云藤的首个木马出现在2007年12月。在之后的11年中我们先后捕获到了13个版本的恶意代码，涉及样本数量73个。该组织在初始攻击环节主要采用鱼叉式钓鱼邮件攻击，攻击之前对目标进行了深入调研和精心挑选，选用与目标所属行业或领域密切相关的内容构造诱饵文件和邮件，主要是采用相应具体领域相关会议材料、研究成果或通知公告等主题。
99,攻击武器再升级：Donot组织利用伪造签名样本的攻击活动分析,肚脑虫 (10),2020-10-29,奇安信,恶意代码,Donot“肚脑虫”APT组织是疑似具有南亚背景的APT组织，其主要以周边国家的政府机构为目标进行网络攻击活动，通常以窃取敏感信息为目的。该组织具备针对Windows与Android双平台的攻击能力。 2020年6月下旬，奇安信威胁情报中心披露了该组织利用升级版数字武器的攻击活动，近日，红雨滴团队在日常的高级威胁狩猎中，再次捕获了Donot组织新一轮的攻击活动样本。此次攻击活动中，该组织依旧采用宏利用样本作为初始攻击载荷，从远程服务器获取恶意代码执行，同时弹出错误提示框以迷惑受害者。下载执行的恶意代码均携带了无效的签名信息。
100,Donot APT团伙近期攻击活动，针对斯里兰卡等地区,肚脑虫 (10),2020-06-30,奇安信,钓鱼攻击木马后门,奇安信监测发现，Donot APT组织近期攻击频繁。其利用恶意宏样本以及公式编辑漏洞利用样本对周边国家地区开展了多次攻击活动，同时，其在移动端攻击活动也并未停息。Donot此次的攻击活动有如下特点：在RTF文档中嵌入Excel流，Excel流中包含恶意宏；在文档单元格中写入长段语句，通过宏代码从语句特定位置获取字符拼接的恶意Payload远程服务器地址；增加Loader模块，将恶意木马分割成为Loader以及加密数据两个模块，最终恶意木马由Loader解密数据模块释放执行，目前，Loader模块在VirusTotal上无杀软报毒。在最新的攻击活动中，最终恶意木马不落地，在内存中解密执行，从而绕过杀软检测。托管模板注入资源的恶意服务器上存在着多个测试样本。研究人员判定此次攻击活动目标为斯里兰卡等地区。
101,Donot APT团伙近期针对周边国家和地区的攻击活动分析,肚脑虫 (10),2020-04-28,奇安信,暂无数据,Donot“肚脑虫”（APT-C-35）是疑似具有南亚背景的APT组织，其主要以周边国家的政府机构为目标进行网络攻击活动，通常以窃密敏感信息为目的。该组织具备针对Windows与Android双平台的攻击能力。 自2017年开始，奇安信威胁情报中心对该组织一直保持着持续跟踪，并多次公开披露过其攻击活动。近期，奇安信红雨滴和奇安信APT实验室在日常的跟踪过程中，再次监测到该组织开展了新一轮攻击活动。此次攻击活动中，该组织采用的技战术手法并未发生大的变化，只是在代码中做了些轻微改动：例如下载器中将字符串简单加密处理、Android样本中将C2等信息简单加密处理等。红雨滴团队对新捕获到的样本进行了详细分析。
102,Donot team 组织(APT-C-35)移动端攻击活动分析,肚脑虫 (10),2020-04-08,腾讯,木马恶意软件,Donot Team APT组织(APT-C-35)是一个疑似具有南亚某国政府背景的APT组织，该组织持续针对巴基斯坦国家进行APT攻击。该组织的攻击活动最早可追溯到2016年，擅长使用c++、python、.net、autoit等多种语言开发的恶意程序，开发的恶意程序不仅有基于yty框架windows端恶意程序，还有可以运行于安卓系统的移动端恶意程序。 近年来，我们捕获了该组织大量的移动端恶意app，这些app有伪装成系统工具的，也有伪装成应用市场、游戏、新闻等各种类型的app。 这些app功能和内容涵盖各个方面，大部分app安装后都有其正常的功能，但他们有一个共同的特点，运行后会在后台执行相同的木马功能——对手机进行远程控制，窃取目标手机的机密信息（包括短信、通信录、电话录音、位置信息、手机键盘输入、日历行程均被记录上传）
103,肚脑虫(Donot)组织和C-Major组织的钩沉拾遗,肚脑虫 (10),2019-12-28,安恒,鱼叉攻击,近期，安恒安全研究院猎影威胁分析团队对肚脑虫(donot)组织进行了一些梳理，在梳理过程中，又发现了一些和 C-Major 组织的关联项。于是对这两个组织做了对比分析。
104,南亚地区 APT 组织 2019 年度攻击活动总结,肚脑虫 (10),2019-12-27,AntiyLabs,暂无数据,"攻击活动的重点目标依旧是中国和巴基斯坦。但是与 2017、2018年的历史数据相比，其针对巴基斯坦的攻击活动呈现明显的上升趋势，而针对中国的攻击活动却稍有缓和。 初始入侵手段主要为社会工程学，按重要程度依次为鱼叉漏洞文档，鱼叉LNK文件，自解压程序，CHM文档，U盘等; 在代码执行阶段，除社会工程学直接诱导受害者执行程序外，其主要使用 Office 漏洞，使用频率最高的为CVE-2017-11882，其次是CVE-2018-0798; 在持久化方面上，其使用的技术均比较常见, 基本为：添加注册表启动项， 添加计划任务项，添加计划任务启动项；在命令和控制方面，较新的方法是使用了 Github 和 Feed43 这类共用平台下发C2 地址信息，其在 Github 或者 Feed43 上创建带有加密C2信息的XML文件，解密来获取新的C2 地址信息。 从技术方面总结，攻击者使用的恶意代码编码质量不高，在恶意代码武器库和攻击手法上与之前相比并没有较大改善。但攻击者正在部分攻击环节提高技术能力：寻找新的白利用手段、使用 JavaScript 脚本在内存加载.Net、尝试对原有恶意代码武器库进行改进，同时在社会工程学方面其做了大量工作，题材形式多样，极具诱惑力。"
105,Donot APT组织（肚脑虫）伪装克什米尔新闻APP的攻击活动分析,肚脑虫 (10),2019-09-10,奇安信,暂无数据,Donot“肚脑虫”（APT-C-35）是疑似具有南亚背景的APT组织，由奇安信威胁情报中心红雨滴团队（@RedDrip7）持续跟踪发现并命名，其主要针对巴基斯坦等南亚地区国家进行网络间谍活动。该APT组织主要针对政府机构等领域进行攻击，以窃取敏感信息为主要目的。该APT组织除了以携带Office漏洞或者恶意宏的鱼叉邮件进行恶意代码的传播之外，还格外擅长利用安卓APK进行恶意代码传播。
106,Donot团伙（APT-C-35）移动端新攻击框架工具分析,肚脑虫 (10),2019-07-03,奇安信,暂无数据,奇安信高级威胁研究团队最近发现Donot组织的新诱饵，一款名为“SafeShareV67”的移动app，该app使用腾讯微信包名（com.tencent.mm）来伪装自己，诱骗用户安装。运行该样本后会弹出是否开启辅助功能设置框，同时删除图标隐藏自身。恶意后门定时从服务端获取远程控制指令，窃取受害者机器数据。除此之外，该样本利用Google Docs(谷歌在线文档编辑系统)获取C&amp;C信息。该攻击活动以巴基斯坦相关人士作为首要攻击目标。
107,Donot（APT-C-35）组织对在华巴基斯坦商务人士的定向攻击活动分析,肚脑虫 (10),2018-12-12,奇安信,邮件钓鱼攻击,近期，360威胁情报中心协助用户处理了多起非常有针对性的邮件钓鱼攻击事件，被攻击目标包括中国境内的巴基斯坦重要商务人士，该轮攻击活动最早发生在2018年5月，攻击者对目标机器进行了长时间的控制。360威胁情报中心在本文中对本次的钓鱼攻击活动的过程与技术细节进行揭露，希望相关组织和个人能够引起足够重视并采取必要的应对措施。
108,Donot团队在南亚利用新的模块化恶意软件框架,肚脑虫 (10),2018-03-08,Netscout,恶意软件,在2018年1月下旬，ASERT发现了一个新的模块化恶意软件框架，我们称之为“yty”。该框架与EHDevel框架有着惊人的相似之处。我们相信，我们内部称为“Donot团队”的团队负责新的恶意软件，并将恢复对南亚的定位。
109,间谍组织APT3利用方程式组织工具进行攻击，在Equation Group工具集被泄露之前,方程式 (2),2019-05-07,Symantec,暂无数据,Buckeye网络间谍组织（又名APT3，Gothic Panda）自2009年以来一直活跃，当年它曾发起一系列间谍攻击，主要针对美国的组织。该组织曾在2010年和2014的攻击中使用过零日漏洞CVE-2010-3962，在2016年的攻击中，发现Windows零日漏洞被Buckeye和Equation Group工具一起利用。但是在2017年以后，Buckeye组织不再使用方程式的工具集。同时在2017年，一个自称为影子经纪人（Shadow Brokers）的神秘团体泄漏了方程式（Equation Group）组织的工具，此次事件造成了近年来最重要的网络安全故事，因为Equation Group被认为是技术上最熟练的间谍组织之一，其工具的发布产生了重大影响，其中一个重要工具，即EternalBlue漏洞，对2017年5月WannaCry勒索软件的爆发产生了破坏性的影响。但是有意思的是Buckeye组织使用Equation Group的工具集是在Shadow Brokers泄漏前至少一年的时间。
110,Equation Group组织工具IOC,方程式 (2),2017-12-18,steemit,暂无数据,Equation Group被卡巴斯基认为是目前世界上存在的最复杂的网络攻击组织。该组织使用的C&amp;C早在1996年就被注册，这暗示了该组织可能已经活跃了20年之久。多年以来，他们因总能比其他组织早发现漏洞，从而具有绝对的优势，涉及的行业包括政府和外交机构、电信、航天、能源、核研究、军事、纳米技术、宗教活动家、媒体、运输业、金融行业等。该组织拥有一套用于植入恶意代码的超级制式信息武器库（在友商报告中披露了其中6个），其中包括两个可以对数十种常见品牌的硬盘固件重编程的恶意模块，这可能是该组织掌握的最具特色的攻击武器，同时也是首个已知的能够感染硬盘固件的恶意代码。
111,发布Kraken:无文件APT攻击滥用Windows错误报告服务,海莲花 (24),2020-10-06,Malwarebytes LABS,鱼叉式网络钓鱼攻击,9月17日，我们发现了一种名为Kraken的新攻击，该攻击将其有效负载作为防御逃避机制注入了Windows错误报告（WER）服务。 当与操作系统，Windows功能或应用程序相关的错误发生时，通常会调用该报告服务WerFault.exe。当受害者看到他们的计算机上运行WerFault.exe时，他们可能认为发生了一些错误，而在这种情况下，他们实际上已成为攻击的目标。 尽管这项技术不是什么新技术，但这项运动很可能是APT小组的工作，该小组先前曾使用网络钓鱼攻击，诱使受害者提出工人赔偿要求。威胁行动者入侵了一个网站以托管其有效负载，然后使用CactusTorch框架执行无文件攻击，然后采用多种反分析技术。
112,越南国家背景APT组织“海莲花”近期攻击手法的变化,海莲花 (24),2020-08-20,微步在线,诱饵文件,近期，微步情报局捕获到多个“海莲花”组织样本，从5月至7月份期间该组织针对越南地区的攻击手法来看，主要变化体现在投递的诱饵文件上面。涉及三种类型包括：白利用结合压缩包、（SFX）RAR自解压文件和携带宏代码的MIME格式文档。除诱饵类型的变化外，花指令、文件体积、ShellCode存放方式、外壳加载层数也存在变化。
113,【微步在线报告】越南国家背景APT组织“海莲花”近期攻击手法的变化,海莲花 (24),2020-08-20,微步在线,钓鱼攻击木马后门,近期，国内厂商发现海莲花组织的多个恶意样本，主要变化体现在投递的诱饵文件上面。投递方式包括：攻击者将带数字签名的Office组件和恶意DLL打包成压缩包，并且白文件后缀名会携带较长的空格符号用于迷惑受害者；攻击者将带数字签名的iTunes组件、恶意DLL和加密ShellCode文件打包成SFX自解压程序；攻击者将携带宏代码的DOC文档保存成MIME格式投递。通过社会工程学诱导受害者点击执行，使用白利用方法绕过安全检测，最终加载的后门包括：CobaltStrike Beacon、DenesRAT等。
114,海莲花APT组织最新样本分析,海莲花 (24),2020-06-17,Malwarebytes LABS,社会工程学鱼叉攻击木马后门水坑攻击,OceanLotus(海莲花)APT组织是一个长期针对中国及其他东亚、东南亚国家(地区)政府、科研机构、海运企业等领域进行攻击的APT组织，该组织也是针对中国境内的最活跃的APT组织之一，该组织主要通过鱼叉攻击和水坑攻击等方法，配合多种社会工程学手段进行渗透，向境内特定目标人群传播特种木马程序，秘密控制部分政府人员、外包商和行业专家的电脑系统，窃取系统中相关领域的机密资料，通过追踪它这些年的攻击手法和攻击目标，OceanLotus很有可能是具有国外政府支持背景的、高度组织化的、专业化的境外国家级黑客组织 初期的OceanLotus特种木马技术并不复杂，容易发现和查杀，2014年OceanLotus特种木马开始采用包括文件伪装、随机加密和自我销毁等一系列复杂的攻击技术与安全软件进行对抗，随后OceanLotus特种木马又开始转向云控技术，攻击的危险性、不确定性与木马识别查杀的难度都大大增强 OceanLotus(海莲花) APT组织擅长使用鱼叉攻击和水坑攻击，NSA武器库曝光后，还使用了永恒系列漏洞进行攻击，投递的攻击武器种类比较多，RTA包括：Denis、CobaltStrike、PHOREAL、salgorea、类gh0st、Ratsnif等。
115,APT32利用疫情信息针对武汉政府和中国应急管理部门的攻击活动,海莲花 (24),2020-04-22,FireEye,鱼叉式网络钓鱼电子邮件,Fireeye Mandiant 威胁情报团队称，自2020年1月至今，疑似海莲花（APT32）组织对中国政府相关机构进行了入侵活动，攻击者将鱼叉式网络钓鱼邮件发送给了中国紧急情况管理部以及武汉市政府，Mandiant 认为此攻击活动是为了收集COVID-19相关的情报信息。 第一起已知的攻击活动发生在2020年1月6日，攻击者将主题为“办公设备招标第一季度结果报告”的电子邮件发送给中国紧急情况管理部门，并在邮件中插入探针，一旦受害者打开邮件，该探针将向远程发送受害者的电子邮件地址。 Mandiant 还发现海莲花以COVID-19为诱饵针对中国，该诱饵文档名为“COVID-19实时更新：中国目前正在追踪所有来自湖北省的旅行者”，该诱饵文档打开后将在受害者计算机中执行shellcode以收集计算机名，用户名。最终将加载METALJACK有效载荷从而控制受害者计算机。
116,近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,海莲花 (24),2020-03-28,腾讯,"恶意脚本木马后门,勒索软件钓鱼邮件",目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
117,COVID-19 新冠病毒笼罩下的全球疫情相关网络攻击分析报告,海莲花 (24),2020-03-26,奇安信,"远控木马木马后门,勒索软件",自今年年初新冠病毒在国内全面爆发，奇安信威胁情报中心便立刻意识到在这样的非常时期，网络攻击者绝不会自我“隔离”。保障关键业务系统的安全稳定运行及信息安全、重要网站的正常运转和内容不被篡改、防范和阻断利用疫情相关热点的APT、黑产等网络攻击，是另一个当务之急。 在春节期间，奇安信红雨滴团队和奇安信CERT便建立了围绕疫情相关网络攻击活动的监控流程，以希冀在第一时间阻断相关攻击，并发布相关攻击预警。 截至目前，奇安信红雨滴团队捕获了数十个APT团伙利用疫情相关信息针对境内外进行网络攻击活动的案例，捕获了数百起黑产组织传播勒索病毒、远控木马等多类型恶意代码的攻击活动。并通过基于奇安信威胁情报中心威胁情报数据的全线产品阻断了数千次攻击。相关详细信息均及时上报国家和地方相关主管部门，为加强政企客户和公众防范意识，也将其中部分信息摘要发布。 在本报告中，我们将结合公开威胁情报来源和奇安信内部数据，针对疫情期间利用相关信息进行的网络攻击活动进行分析，主要针对疫情相关网络攻击态势、APT高级威胁活动、网络犯罪攻击活动，以及相关的攻击手法进行详细分析和总结。
118,越南国家背景APT组织“海莲花”利用疫情话题攻击我国政府机构,海莲花 (24),2020-03-16,微步在线,木马,近期，微步情报局捕获“海莲花”利用疫情话题针对我国发起攻击活动的样本文件。 攻击者以“湖南省家禽H5N1亚型高致病性禽流感疫情情况”、“冠状病毒实时更新：中国正在追踪来自湖北的旅行者”等时事热点为诱饵进行鱼叉攻击，攻击活动或发生于今年2月。利用带数字签名的WPS文件，通过社会工程学诱导受害者点击执行，运行以后会通过侧加载方式装载恶意DLL，释放诱饵文档并且在内存中加载DenesRAT木马。DenesRAT木马具备文件操作、注册表读写、设置环境变量和远程执行代码等功能的后门，该后门被插入大量花指令用于对抗分析。
119,黑客组织海莲花攻击宝马汽车集团，窃取商业机密,海莲花 (24),2019-12-06,360,暂无数据,"根据国外新闻报道，黑客组织海莲花攻击了慕尼黑宝马汽车公司（始于2019年春季）的计算机网络和韩国现代汽车网络。6月份时，宝马公司将有关计算机进行了脱网处理。黑客通过创建一个仿冒泰国宝马分公司网站来进行钓鱼，从而窃取目标信息。分析发现黑客组织应是从BR Recherche攻击了计算机攻击者，然后安装Cobalt Strike来进行攻击。自2018年底以来，汽车工业也逐步成海莲花组织的关注焦点。不止于宝马，丰田汽车公司也曾惨遭""海莲花""毒手。通过进一步发现，2019年6月越南企业集团Vingroup开设了第一家生产汽车的工厂。而有资料显示，在越南开始制造汽车时，该组织就开始将攻击目标聚焦于汽车制造商。"
120,“海莲花”(OceanLotus)2019年针对中国攻击活动汇总,海莲花 (24),2019-12-05,腾讯,暂无数据,整个2019年，该组织持续对多个目标不断的进行攻击，使用的鱼叉攻击邮件主题非常本土化，如使用网易邮箱，贴近时事热点等。新增诱饵类型：伪装为word图标的可执行文件、chm文件等。不断更新对抗方式：使用多重载荷攻击、定制化第二阶段后门，C2拼接，自增文件大小等。利用的定制化恶意软件为：CobaltStrike的beacon木马、Denis家族木马、修改版的Gh0st。
121,疑似海莲花又有新活动，攻击目标似为国内大型企业,海莲花 (24),2019-11-13,安恒,暂无数据,近期安全研究院猎影威胁分析团队在文件威胁分析平台上监控发现疑似海莲花组织又有新的活动出现，其攻击目标似为国内大型企业。
122,来自OceanLotus的新网络害虫,海莲花 (24),2019-07-01,THREATVECTOR,C&C,OceanLotus Group（又名APT32，CobaltKitty）正在使用一套名为“Ratsnif”的远程访问木马来利用新的网络攻击功能。Blackberry Cylance威胁研究人员分析了Ratsnif特洛伊木马，它提供了一种名副其实的瑞士军刀网络攻击技术。自2016年以来积极开发的特洛伊木马程序结合了数据包嗅探，网关/设备ARP中毒，DNS中毒，HTTP注入和MAC欺骗等功能。
123,OceanLotus利用新方法针对越南环境集团,海莲花 (24),2019-06-20,奇安信,C&C,据称，APT集团OceanLotus拥有越南背景，于2015年5月首次曝光并由SkyEye Labs（QiAnXin威胁情报中心RedDrip团队的前身）命名。其攻击活动可以追溯到2012年4月。目标包括中国海事机构，海事建设，科研院所和航运企业。他们的目标后来扩展到几乎所有重要组织，相关活动现在仍然活跃。
124,海莲花团伙对中南半岛国家攻击活动的总结：目标、手法及技术演进,海莲花 (24),2019-05-08,奇安信,网络钓鱼,OceanLotus是一家拥有越南背景的APT集团。该团队于2015年5月首次由SkyEye团队发布并命名。其攻击活动可以追溯到2012年4月。目标包括中国的海事机构，海事建筑，科研机构和航运企业。
125,OceanLotus隐写术,海莲花 (24),2019-04-02,BlackBerry Cylance,木马后门,BlackBerry Cylance最近在我们对OceanLotus（APT32）小组的持续监控期间发现了一种新颖的恶意软件有效载荷装载器。加载程序使用隐写术来读取隐藏在.png图像文件中的加密有效负载。
126,跟踪OceanLotus的新下载程序KerrDown,海莲花 (24),2019-02-01,paloalto,钓鱼攻击,OceanLotus (也叫做APT32)，其主要攻击目标是东南亚。过去几年发生的多起攻击活动都与APT 32有关，虽然APT 32的攻击活动是全球性的，但其主要活动在APAC区域，主要攻击目标包括多个行业、外国政府、与越南相关的活动家和持不同政见者。本文介绍OceanLotus从2018年初开始使用的定制的下载器恶意软件KerrDown。研究人员在分析过程中还使用了Jaccard index（Jaccard相似系数）算法来找出KerrDown恶意软件家族与数据库中其他恶意软件家族的相似性。研究人员一共发现两种传播 KerrDown下载器的方法。第一个是使用含有恶意宏的office文档，第二个方法是使用含有DLL侧加载的合法程序的RAR文件。
127,OceanLotus组织使用的恶意程序分析报告,海莲花 (24),2018-10-17,BlackBerry,漏洞利用鱼叉攻击木马后门水坑攻击,威胁研究人员发现了几个由Oceanlotus Group（APT32，Cobalt Kitty）部署的定制后门，以及使用CobaltStrike Beacon后门攻击的证据。攻击者通常在环境中利用PowerShell，使用程序下载/部署恶意软件，以及来自各种漏洞工具包（包括MSFvenom、Veil和Dkmc）的PE/Shellcode加载，大部分恶意软件都是在内存中运行，不需要磁盘占用。
128,,海莲花 (24),2018-04-27,腾讯,后门木马鱼叉式钓鱼攻击漏洞利用,海莲花（OceanLotus）也叫APT32或APT-C-00，是一个长期针对中国及其他东亚国家（地区）政府、科研机构、海运企业等领域进行攻击的APT组织。
129,OceanLotus组织新的Macos后门分析,海莲花 (24),2018-04-04,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,我们确定了一个MacOS后门（趋势科技检测为OSX_OCEANLOTUS.D），我们认为它是OceanLotus（又名APT 32，APT-C-00，SeaLotus和Cobalt Kitty）使用的威胁的最新版本.OceanLotus负责 针对人权组织，媒体组织，研究机构和海事建筑公司发起有针对性的攻击.OSX_OCEANLOTUS.D背后的攻击者瞄准安装了Perl编程语言的MacOS计算机。
130,OceanLotus APT （海莲花）在近期攻击中使用了新后门,海莲花 (24),2018-03-14,ESET,后门木马鱼叉式钓鱼攻击漏洞利用,ESET 发布分析报告称 OceanLotus APT 组织在其最近的攻击活动中使用了新的后门，旨在获得远程访问以及对受感染系统的完全控制权。目前 OceanLotus 会在其攻击活动中不断更新工具集，这显示了该组织通过选择目标保持隐藏的意图。此外，OceanLotus 也限制其恶意软件的分发以及使用多个不同的服务器来避免将注意力吸引到单个域名或 IP 地址。
